RK,Organization,Bitcoin Donation Address,# Tran,Total Received,Distinct Website URL Appearance Found
1,Gavin Andresen faucet donation (2x) ,15ArtCgi3wmpQAAfYx4riaFmo4prJA4VsK; 15VjRaDX9zpbA8LVnbrCAFzrVzN7ixHNsC,30076,20555.52.00,4
2,Bitcointalk Forum,17RTTUAiiPqUTKtEggJPec8RxLMi2n9EZ9,414,8088.01.00,2
3,Bitcoin Foundation,1BTCorgHwCg6u2YSAWKgS17qUad6kHmtQW,1171,6799.20.00,3
4,I2P (2x) ,1BPdWwovytfGdBwUDVgqbMZ8omcPQzshpX; 1HkJCceXf7of1sTNRVJbXiZHfDTLL71Siy,346,6345.48.00,1
5,WikiLeaks (2x) ,1HB5XMLmzFVj8ALj6mfBsbifRoD4miY36v; 1MaXZE92yjuy4NYjTspmdWHMRT3jQUcTf4,48893,4970.40.00,11
6,bitcoingamer.com,1MCwBbhNGp5hRm5rC1Aims2YFRe2SXPYKt,819,3881.00.00,3
7,donateathome.org,19b62wRL6hGEWa1bLbkdjaiWvZm1C56XuL,28,4193.29.00,1
8,Bitcoin100.org,1BTC1oo1J3MEt5SFj74ZBcF2Mk97Aah4ac,532,2116.40.00,3
9,Torservers (4x) ,1KLhvgi9exzvea7fr1CNdHroDC28SkkvEL; 1GvVpDGM426bHp2eXwHzwDNqv8g2xyfznJ; 1hX1PFASwcShnB7VyGpfbdBK8LbhGD7dt; 1N5sJeuxCCtG8mXxhgHD3H7W5FWTHK3H21,389,2733.23.00,2
10,bitcoin.gw.gd/,1va4sqj5AFnMYicD7JzhDfxauk5w6Uuug,158,1524.38.00,1
11,Free Software Foundation,1PC9aZC4hNX2rmmrt7uHTfYAS3hRbph4UN,1253,1433.14.00,5
12,Free Ross,1Ross5Np5doy4ajF9iGXzgKaC2Q3Pwwxv,1825,814.03.00,2
13,The Freenet Project,1966U1pjj15tLxPXZ19U48c99EJDkdXeqb,249,1361.26.00,1
14,Freedomain Radio,1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs,3001,933.08.00,1
15,Seans Outpost,1M72Sfpbz1BPpXFHz9m3CdqATR44Jvaydd,2203,1399.14.00,6
16,Singularity Institute,1HUrNJfVFwQkbuMXwiPxSQcpyr3ktn1wc9,111,535.26.00,1
17,Raided for To,1CPKAMtD4bcLrh8SRHfSxBBMmQQ5cqahPZ,190,267.31.00,1
18,"Tbilisi, Georgia flood victims",1LkTTA9z3isp7j5yPV691rgkk3N1QfdSsD,232,1232.05.00,1
19,antiwar.com,1M87hiTAa49enJKVeT9gzLjYmJoYh9V98,1400,753.13.00,3
20,BitGive Foundation,1PEoUKNxTZsc5rFSQvQjeTVwDE9vEDCRWm,21917,718.33.00,3
21,Lifeboat Foundation (2x) ,1LifeboatVPg24QghZ73Dzrx8AxcJLCnoA; 17aDRzRQK8ccBLVBzsms3ZasVKc9q3o3Qk,490,1084.07.00,1
22,AnonNews,1PPVupRRz7tHvfvJWEDBnDr7bFVFFYLu6G,138,265.26.00,2
23,BitNovosti,1FTgzPJCbpCWYfF6VxPdmCMPUDBfygut2h,1084,382.24.00,1
24,Juice Rap News,1ESKsNEfjmCZJt3yEYjdE31L1QKqnRVcmn,389,546.31.00,1
25,Free Snowden,1snowqQP5VmZgU47i5AWwz9fsgHQg94Fa,1248,1083.37.00,7
26,Bitcoin-otc,1F1dPZxdxVVigpGdsafnZ3cFBdMGDADFDe,349,912.23.00,1
27,DiasporaProject.org,1H63WEQbK45K3xgC7DRfphMWMJMZHrX542,242,475.59.00,1
28,Free State Project,18LDvu2nqr8a5AK9AHkkqDK6Z65dzbTgtn,307,875.52.00,1
29,open-nodes.org,1CQUH3rYPYLdn8Sg5TRjzaCn4zrvjNE8RU,35,267.02.00,1
30,Group B Strep International,1G85cQXETuGeMGvniv5SuMACegCR6L51A5,268,278.48.00,1
31,Seasteading Institute (2x) ,1FexWDptSXFWsZvdLoBckZgVFWytHjsSu8; 1NCiZjzHpsXFBPXFTLbbBCwogJezdWpoAB,182,858.30.00,1
32,Internet Archive,1Archive1n2C579dMsAu3iC6tWzuQJz8dN,1731,383.04.00,2
33,BUND Berlin e.V.,1BboU9QH4kcNeDqdr7xBUZ4GrFgfhNaVBd,167,1105.10.00,1
34,Wikimedia New York City,1F4Ka3nHH3Ef1P2f66AwLEqwHo6J9wFHKC,131,336.09.00,1
