address, ransomware name
15sJ3pT7J6zefRs95SEsfBZMz8jAw1zAbh,CryptoLocker
1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,CryptoLocker
1EJbVfn5hXQ9JcfRyn965UKpNX4qxRW7pY,CryptoLocker
14bgivtRtTjzwiS4rRECoKGXkSZbf1Co39,CryptoLocker
1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
1382JAg5xbQv7QNwq1svDeyw6ELtNCmujG,DMALocker
1MfVk1utxgvGjMFV3K3CzXsDRDZznj5tey,Bucbi
18AVPLKGBamXtGpdT3kP2b5Dv3iBUDpjKv,CryptoHost
1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,7ev3n
15Y2TmHrxjmRFxfNUttwb9aU4DifvDpWKM,TeslaCrypt
1NRn15kJnVRrptTSQJJnMD9KJcWkVFh1Gv,TeslaCrypt
14dqhE6XPoxkkttwwh7qTWmmSwXerWd2Ho,ThunderCrypt
18yfx86BwNK5xYKw71uaHwAxPgCGRJaqgg,ThunderCrypt
1HFY12o56xbHer3oeNxC99A7SGyXaR64hs,ThunderCrypt
1N82pq3XovKoJYqUmTrRiXftpNHZyu4jyv,Trump Locker
1AoNMLZfhw7cbMCKAhaKHiveMdwFyVUGeA,Buddy
1JHxr5sbXDoZuDsx624TmZ2MWyDdD9ag8K,Chimera
1Hf2vPmYNxzFYWiaURs75h8JoyCczLXCG2,CTB Locker
1E4jsfwFsKVaAVFNfrmGVgDY1HRU8qf7PV,CTB Locker
15fbyNgDnqYQR5vSHJ8PTAEJbKy4dwNBCZ,Jigsaw
