address,numberTransaction,isPonzi
1Ee9ZiZkmygAXUiyeYKRSA3tLe4vNYEAgA,5244,true,
1MzNQ7HV8dQ6XQ52zBGYkCZkkWv2Pd3VG6,1317,true,
1FyedPPk923wRfmVphV1CLt3bVLGxHZXpK,19736,true,
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,24706,true,
1ponziUjuCVdB167ZmTWH48AURW1vE64q,4720,true,
139eeGkMGR6F9EuJQ3qYoXebfkBbNAsLtV,4415,true,
114Ap9G5nu78vESC648amPwSeqUorPtV5L,751,true,
1FuypAdeC7mSmYBsQLbG9XV261bnfgWbgB,246,true,
1F8ZKpjMDpnpF79mZ1pxZRoNKZgXm4Tf1d,1629,true,
12PoNZiEtabwkCU4YFffshWNF1cRiAk5nq,627,true,
1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9,2524,true,
1E5MCTtXn7n2svpZ1bDHZXndY9K7qQeqZP,266,true,
1BtcBoSSnqe8mFJCUEyCNmo3EcF8Yzhpnc,7856,true,
15fcEUmKXBiScw2CDwKEre2YE8brvWPxVA,34,false,
121E9w1ogmjowDbJmkmCuqqQGztJteR78A,110,false,
12Hd6yd28NXoLuBYwqfncv3J7xXQnKKhGb,203,false,
166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,35,false,
16Zf5yBa2BhitYZMdENxAfkPs244YTG7y4,32,false,
17wLBifUVkmAovSbVGJcXTvsgUiSMa1rjx,30,false,
1EyzXkzD4bRRJFwWs48rhtwe6WsE8bxARJ,31,false,
14XDyg1YkQFEkjJEHGYS1x3MSGEnhhATtH,44,false,
19QgdEbau15zQVNoTuMHtRRz4nsYv7mgSy,26,false,
1PkiFqu4w85DDvZ1bTgyPKijw99bpHz3dD,39,false,
18UGJzDev87mqZZxiAH3JyQNtXXpBT2HsS,33,false,
1B7SvpLs2bmB8mGX2Bqdqn8UToTB1qgwUd,407,false,
1MwLj2SfC1yEm8spki1d9SdhhXZR6gHprB,872,false,
1BSmoCScpjyPbdnZV2ZUeCTX9Bae4VXiYS,26,false,
1NkqZE4DA8h6Xbtz9GtJcfE1FcA8Z5yRJN,38,false,
1Cz5hcRr2du74AF5MCvy8zKRFd4AyMBZjJ,54,false,
1JUPzoHfzjrrFdQETfTixa6LXB4bH4BAC4,35,false,
1GVjehxXUGK1hoV7Fq35PLu27o8nVpMwD7,87,false,
1HjhBXfshDn73mKGLN9VAFDWD4vGTmbc3w,95,false,
1FDDLBSKjg9exoEohjKznK6AX1hRMNEG94,81,false,
1bxKRy21nwEUd7MaupgAC2rMJHSexE3PQ,93,false,
13FvXaqpgqkNRmMd43JDdcYSJqRha32F8q,34,false,
12Nz4NGjYPikWev6mEUd5S8fhynXaowge4,113,false,
19sExim4VjwWLt8xAmiYqAm9kax44wZSKD,378,false,
12QQ34rmJ68ooSEntKKhRQm5181vBnfsPK,52,false,
