address,tag
1Ee9ZiZkmygAXUiyeYKRSA3tLe4vNYEAgA,Nanoindustryinv.com
1MzNQ7HV8dQ6XQ52zBGYkCZkkWv2Pd3VG6,GrandAgoFinance
1FyedPPk923wRfmVphV1CLt3bVLGxHZXpK,Cryptory
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,Leancy
1FuypAdeC7mSmYBsQLbG9XV261bnfgWbgB,Minimalism10
1F8ZKpjMDpnpF79mZ1pxZRoNKZgXm4Tf1d,MiniPonziCoin
1E5MCTtXn7n2svpZ1bDHZXndY9K7qQeqZP,120cycle
1BtcBoSSnqe8mFJCUEyCNmo3EcF8Yzhpnc,10PERCENTBTC
1ponziUjuCVdB167ZmTWH48AURW1vE64q,Ponzi.io
1LaxoTrQy51LnB289VmoSAgN6J6UrJbfL9,LaxoTrade
12PoNZiEtabwkCU4YFffshWNF1cRiAk5nq,Ponzi120
139eeGkMGR6F9EuJQ3qYoXebfkBbNAsLtV,RockwellPartners
114Ap9G5nu78vESC648amPwSeqUorPtV5L,Twelverized
1BmZW65ZoeLa1kbL9MPFLfkS818mqFUSma,OpenPonzi
1AQp51H22WHDzLgK64NoUo3Bg3T183QR22,BTC-doubler.us
178BzARKjkszrTyx4TxBKHhzGLZijdE26e,BTC-doubler.com
19YZYfMB3mfX8AixzV7aLqXuViDcntrfcK,CRYPTOSX2
1BsjsaHST2Qohs8ZHxNHeZ1UfWhtxoKHEN,1hourbtc.pw
1FNtgGsHhymmEUMXrMiFeMtZbuagnnS59c,bitcoindoubler.fund
1zmeu5BeWBprWyPv5ntNZKR7uThXaG9ic,doublebitcoin.life
1CpVAEg4BgVzjiHshgeZfitZLV1t1zo6Qg,investorbitcoin.com
1PayoutRrC8wxxZ9ygmeaRj3qTPug8tDYu,btcgains
1EaSVdRuzcz4yjnTmibabyyrczvaQS8hAJ,bitcoincopy.site123.me
1AXTqWYz1Bd3LZnq1Zf9vsgFBpqrKkHopx,bitcoinprofit2
1PZ8E5oT7EUVgEVz1Ggc7bjXe2byxr7wxG,invest4profit
1GetPaiDxjEuWN3KJTnY9Cbqv9QcR8zcME,1getpaid.me
14ji9KmegNHhTchf4ftkt3J1ywmijGjd6M,Ponzi.io (change)
1AQxcdPgMTTQghPXt1EXHU8vEjSn2kYrPQ,igjam.com
195o79saDhUNHJ4DeMBYMekLmrQ848APxA,7dayponzi
1A88teD6QqXRHBMCyCkoxxBQHpJAztUz6e,world-btc.online
13NZxtAnKk5mbCUHpxHqKwWTDJzFHMGHLh,bestdoubler.eu
18Smkvyf3gJN4z59FhjJsCu6NhSYmZkNvG,bitcoindoubler.prv.pl 
