day,value
0,10380000
1,143770000
2,674110818
3,131071262
4,309159262
5,264860275
6,160452628
7,570765416
8,183136022
9,92801922
10,106504712
11,7323225
12,22174456
13,26203326
14,52925326
15,41203962
16,41203962
17,15497286
18,22697286
19,30097286
20,32397286
21,40036969
22,28576969
23,33376969
24,33376969
25,35776969
26,35776969
27,34936969
28,32426969
29,3806969
30,3806969
31,3806969
32,3806969
33,1567961
34,6167961
35,8567961
36,0
37,0
38,367656
39,367656
40,367656
41,367656
42,2767656
43,2767656
44,2767656
45,2767656
46,2767656
47,2767656
48,2767656
49,2767656
50,2767656
51,2767656
52,2767656
53,2767656
54,2767656
55,2767656
56,2767656
57,2767656
58,2767656
59,2767656
60,2767656
61,2767656
62,2767656
63,2767656
64,2767656
65,2767656
66,2767656
67,2767656
68,2767656
69,2767656
70,2767656
71,2767656
72,2767656
73,2767656
74,2767656
75,2767656
76,2767656
77,2767656
78,2767656
79,607656
80,607656
81,607656
82,607656
83,607656
84,607656
85,607656
86,607656
87,607656
88,607656
89,607656
90,607656
91,607656
92,607656
93,607656
94,607656
95,607656
96,607656
97,607656
98,607656
99,607656
100,607656
101,607656
102,607656
103,607656
104,607656
105,607656
106,607656
107,607656
108,607656
109,607656
110,607656
111,607656
112,607656
113,607656
114,607656
115,607656
116,607656
117,607656
118,607656
119,607656
120,607656
121,607656
122,607656
123,607656
124,607656
125,607656
126,607656
127,607656
128,607656
129,607656
130,607656
131,607656
132,607656
133,607656
134,607656
135,607656
136,607656
137,607656
138,607656
139,607656
140,607656
141,607656
142,607656
143,607656
144,607656
145,607656
146,607656
147,607656
148,607656
149,607656
150,607656
151,607656
152,607656
153,607656
154,607656
155,607656
156,607656
157,607656
158,607656
159,607656
160,607656
161,607656
162,607656
163,607656
164,607656
165,607656
166,607656
167,607656
168,607656
169,607656
170,607656
171,607656
172,607656
173,607656
174,607656
175,607656
176,607656
177,607656
178,607656
179,607656
180,607656
181,607656
182,607656
183,607656
184,607656
185,607656
186,607656
187,607656
188,607656
189,607656
190,607656
191,607656
192,607656
193,607656
194,607656
195,607656
196,607656
197,607656
198,607656
199,607656
200,607656
201,607656
202,607656
203,607656
204,607656
205,607656
206,607656
207,607656
208,607656
209,607656
210,607656
211,607656
212,607656
213,607656
214,607656
215,607656
216,607656
217,607656
218,607656
219,607656
220,607656
221,607656
222,607656
223,607656
224,607656
225,607656
226,607656
227,607656
228,607656
229,607656
230,607656
231,607656
232,607656
233,607656
234,607656
235,607656
236,607656
237,607656
238,607656
239,607656
240,607656
241,607656
242,607656
243,607656
244,607656
245,607656
246,607656
247,607656
248,607656
249,607656
250,607656
251,607656
252,607656
253,607656
254,607656
255,607656
256,607656
257,607656
258,607656
259,607656
260,607656
261,607656
262,607656
263,607656
264,607656
265,607656
266,607656
267,607656
268,607656
269,607656
270,607656
271,607656
272,607656
273,607656
274,607656
275,607656
276,607656
277,607656
278,607656
279,607656
280,607656
281,607656
282,607656
283,607656
284,607656
285,607656
286,607656
287,607656
288,607656
289,607656
290,607656
291,607656
292,607656
293,607656
294,607656
295,607656
296,607656
297,607656
298,607656
299,607656
300,607656
301,607656
302,607656
303,607656
304,607656
305,607656
306,607656
307,607656
308,607656
309,607656
310,607656
311,607656
312,607656
313,607656
314,607656
315,607656
316,607656
317,607656
318,607656
319,607656
320,607656
321,607656
322,607656
323,607656
324,607656
325,607656
326,607656
327,607656
328,607656
329,607656
330,607656
331,607656
332,607656
333,607656
334,607656
335,607656
336,607656
337,607656
338,607656
339,607656
340,607656
341,607656
342,607656
343,607656
344,607656
345,607656
346,607656
347,607656
348,607656
349,607656
350,607656
351,607656
352,607656
353,607656
354,607656
355,607656
356,607656
357,607656
358,607656
359,607656
360,607656
361,607656
362,607656
363,607656
364,607656
365,607656
366,607656
367,607656
368,607656
369,607656
370,607656
371,607656
372,607656
373,607656
374,607656
375,607656
376,607656
377,607656
378,607656
379,607656
380,607656
381,607656
382,607656
383,607656
384,607656
385,607656
386,607656
387,607656
388,607656
389,607656
390,607656
391,607656
392,607656
393,607656
394,607656
395,607656
396,607656
397,197656
