day,value
0,90000
1,150000
2,140000
3,7910612
4,7910612
5,27607331
6,108939085
7,217328631
8,333140591
9,330455361
10,328739784
11,361000807
12,263900085
13,406877887
14,422508689
15,445067936
16,681290850
17,700397650
18,699850052
19,558892267
20,546660288
21,933115940
22,1103085647
23,863429448
24,816984511
25,55179430
26,229756733
27,72613068
28,1360070
29,75840
30,40783
31,57450810
32,21268803
33,8307848
34,67460425
35,11288446
36,129805763
37,24953536
38,106454994
39,83713205
40,101069584
41,18043585
42,50395547
43,445162256
44,4574842440
45,4076965235
46,4031896237
47,4015934541
48,3910882947
49,4208185466
50,4372927207
51,4484587438
52,4272377448
53,4373229923
54,4364319516
55,3890025885
56,1730150468
57,1650761564
58,2064936864
59,2570513040
60,2603243092
61,3070924928
62,2662749880
63,2987834122
64,7821699285
65,5677770754
66,6222887181
67,6105091165
68,5152721711
69,4107744046
70,4606466686
71,5533296749
72,5395506305
73,5036444679
74,5079155653
75,6177890869
76,1209515026
77,4348619275
78,6819797456
79,6724467352
80,6032568409
81,5305578631
82,5525559582
83,1955804923
84,996294432
85,1419210872
86,675375838
87,599313175
88,990493036
89,1014024865
90,678086419
91,2148516648
92,2049303589
93,2299768990
94,2712734239
95,2492999025
96,880878274
97,152175447
98,1098675656
99,516481515
100,589058279
101,367825064
102,351166143
103,661414667
104,1295624370
105,460284819
106,534255619
107,1125266673
108,6840406
109,6840406
110,6840406
111,6840406
112,6840406
113,6840406
114,6840406
115,6840406
116,6840406
117,6840406
118,6840406
119,6840406
120,6840406
121,6840406
122,6840406
123,6840406
124,6840406
125,6840406
126,6840406
127,6840406
128,6840406
129,6840406
130,6840406
131,6840406
132,6840406
133,6840406
134,6840406
135,6840406
136,6840406
137,6840406
138,6840406
139,6840406
140,6840406
141,6840406
142,6840406
143,6840406
144,6840406
145,6840406
146,6840406
147,6840406
148,6840406
149,6840406
150,6840406
151,6840406
152,6840406
153,6840406
154,6840406
155,6840406
156,6840406
157,6840406
158,6840406
159,6840406
160,6840406
161,6840406
162,6840406
163,6840406
164,6840406
165,6840406
166,6840406
167,6840406
168,6840406
169,6840406
170,6840406
171,6840406
172,6840406
173,6840406
174,6840406
175,6840406
176,6840406
177,6840406
178,6840406
179,6840406
180,6840406
181,6840406
182,6840406
183,6840406
184,6840406
185,6840406
186,6840406
187,6840406
188,6840406
189,6840406
190,6840406
191,6840406
192,6840406
193,6840406
194,6840406
195,6840406
196,6840406
197,6840406
198,6840406
199,6840406
200,6840406
201,6840406
202,6840406
203,6840406
204,6840406
205,6840406
206,6840406
207,6840406
208,6840406
209,6840406
210,6840406
211,6840406
212,6840406
213,6840406
214,6840406
215,6840406
216,6840406
217,6840406
218,6840406
219,6840406
220,6840406
221,6840406
222,6840406
223,6840406
224,6840406
225,6840406
226,6840406
227,6840406
228,6840406
229,6840406
230,6840406
231,6840406
232,6840406
233,6840406
234,6840406
235,6840406
236,6840406
237,6840406
238,6840406
239,6840406
240,6840406
241,6840406
242,6840406
243,6840406
244,6840406
245,6840406
246,6840406
247,6840406
248,6840406
249,6840406
250,6840406
251,6840406
252,6840406
253,6840406
254,6840406
255,6840406
256,6840406
257,6840406
258,6840406
259,6840406
260,6840406
261,6840406
262,6840406
263,6840406
264,6840406
265,6840406
266,6840406
267,6840406
268,6840406
269,6840406
270,6840406
271,6840406
272,6840406
273,6840406
274,6840406
275,6840406
276,6840406
277,6840406
278,6840406
279,6840406
280,6840406
281,6840406
282,6840406
283,6840406
284,6840406
285,6840406
286,6840406
287,6840406
288,6840406
289,6840406
290,6840406
291,6840406
292,6840406
293,6840406
294,6840406
295,6840406
296,6840406
297,6840406
298,6840406
299,6840406
300,6840406
301,6840406
302,6840406
303,6840406
304,6840406
305,6840406
306,6840406
307,6840406
308,6840406
309,6840406
310,6840406
311,6840406
312,6840406
313,6840406
314,6840406
315,6840406
316,6840406
317,6840406
318,6840406
319,6840406
320,6840406
321,6840406
322,6840406
323,6840406
324,6840406
325,6840406
326,6840406
327,6840406
328,6840406
329,6840406
330,6840406
331,6840406
332,6840406
333,6840406
334,6840406
335,6840406
336,6840406
337,6840406
338,6840406
339,6840406
340,6840406
341,6840406
342,6840406
343,6840406
344,6840406
345,6840406
346,6840406
347,6840406
348,6840406
349,6840406
350,6840406
351,6840406
352,6840406
353,6840406
354,6840406
355,6840406
356,6840406
357,6840406
358,6840406
359,6840406
360,6840406
361,6840406
362,6840406
363,6840406
364,6840406
365,6840406
366,6840406
367,6840406
368,6840406
369,6840406
370,6840406
371,6840406
372,6840406
373,6840406
374,6840406
375,6840406
376,6840406
377,6840406
378,6840406
379,6840406
380,6840406
381,6840406
382,6840406
383,6840406
384,6840406
385,6840406
386,6840406
387,6840406
388,6840406
389,6840406
390,6840406
391,6840406
392,6840406
393,6840406
394,6840406
395,6840406
396,6840406
397,6840406
398,6840406
399,6840406
400,6840406
401,6840406
402,6840406
403,6840406
404,6840406
405,6840406
406,6840406
407,6840406
408,6840406
409,6840406
410,6840406
411,6840406
412,6840406
413,6840406
414,6840406
415,6840406
416,6840406
417,6840406
418,6840406
419,6840406
420,6840406
421,6840406
422,6840406
423,6840406
424,6840406
425,6840406
426,6840406
427,6840406
428,6840406
429,6840406
430,6840406
431,6840406
432,6840406
433,6840406
434,6840406
435,6840406
436,6840406
437,6840406
438,6840406
439,6840406
440,6840406
441,6840406
442,6840406
443,6840406
444,6840406
445,6840406
446,6840406
447,6840406
448,6850406
449,6860406
