day,value
0,190000
1,190000
2,190000
3,88074
4,195490009
5,184967838
6,177475557
7,167681217
8,159593723
9,160529223
10,179264729
11,171693124
12,163107103
13,198561239
14,214344857
15,352537990
16,341361639
17,318378397
18,293163243
19,529478889
20,879465517
21,927234704
22,875312122
23,985811609
24,949739458
25,895651107
26,879679451
27,826973868
28,946068789
29,1070572407
30,1028123307
31,1034619064
32,1065008015
33,1091473511
34,1075412121
35,1017452669
36,954679815
37,1335243182
38,1582343397
39,1770148729
40,1163593394
41,763333962
42,807887108
43,953797810
44,1449245493
45,1014297079
46,1558830909
47,1186172284
48,1205443979
49,1029786005
50,1547863832
51,1821255368
52,1301359896
53,2322307974
54,1310952923
55,1612987412
56,2038628214
57,994301408
58,1467468897
59,2169864049
60,1383500653
61,1527084088
62,3459647188
63,5084663139
64,3060654520
65,1497071980
66,3797822315
67,2686003944
68,4446944332
69,3931705162
70,6124101181
71,7038635458
72,4319392410
73,4774944669
74,2185856675
75,2326501443
76,6042047361
77,10984269572
78,6482256785
79,343665682
80,3868981560
81,3764197396
82,7108841119
83,7340856961
84,1045912032
85,6437255079
86,8152037163
87,8350674079
88,1831440388
89,1857958859
90,1859663859
91,1859663859
92,1859663859
93,1892613859
94,1929135859
95,1975235859
96,1985955999
97,1989955999
98,1989955999
99,1989955999
100,1989955999
101,1989955999
102,1989955999
103,1989955999
104,785999
105,785999
106,785999
107,785999
108,785999
109,785999
110,785999
111,785999
112,785999
113,785999
114,785999
115,785999
116,785999
117,785999
118,785999
119,785999
120,785999
121,785999
122,785999
123,785999
124,785999
125,785999
126,785999
127,785999
128,785999
129,785999
130,785999
131,785999
132,785999
133,785999
134,785999
135,785999
136,785999
137,785999
138,785999
139,785999
140,785999
141,785999
142,785999
143,785999
144,785999
145,785999
146,785999
147,785999
148,785999
149,785999
150,785999
151,785999
152,785999
153,785999
154,785999
155,785999
156,785999
157,785999
158,785999
159,785999
160,785999
161,785999
162,785999
163,785999
164,785999
165,785999
166,785999
167,785999
168,785999
169,785999
170,785999
171,785999
172,785999
173,785999
174,785999
175,785999
176,785999
177,785999
178,785999
179,785999
180,785999
181,785999
182,785999
183,785999
184,785999
185,785999
186,785999
187,785999
188,785999
189,785999
190,785999
191,785999
192,785999
193,785999
194,785999
195,785999
196,785999
197,785999
198,785999
199,785999
200,785999
201,785999
202,785999
203,785999
204,785999
205,785999
206,785999
207,785999
208,785999
209,785999
210,785999
211,785999
212,785999
213,785999
214,785999
215,785999
216,785999
217,785999
218,785999
219,785999
220,785999
221,785999
222,785999
223,785999
224,26245829
225,26245829
226,26245829
227,26245829
228,26245829
229,26245829
230,26245829
231,26245829
232,26245829
233,26245829
234,26245829
235,26245829
236,26245829
237,26245829
238,26245829
239,26245829
240,26245829
241,26245829
242,26245829
243,26245829
244,26245829
245,26245829
246,26245829
247,26265829
248,26265829
249,26265829
250,26285829
251,26285829
252,26285829
253,26285829
254,26285829
255,26285829
256,26285829
257,26285829
258,26285829
259,26285829
260,26285829
261,26285829
262,26285829
263,26285829
264,26285829
265,26285829
266,26285829
267,26285829
268,26285829
269,26285829
270,26285829
271,26285829
272,26285829
273,26285829
274,26285829
275,26285829
276,26285829
277,26285829
278,26285829
279,26285829
280,26285829
281,26285829
282,26285829
283,26285829
284,26285829
285,26285829
286,26285829
287,26285829
288,26285829
289,26285829
290,26285829
291,26285829
292,26285829
293,26285829
294,26285829
295,26285829
296,26285829
297,26285829
298,26285829
299,26285829
300,26285829
301,26285829
302,26285829
303,26285829
304,26285829
305,26285829
306,26285829
307,26285829
308,26285829
309,26285829
310,26285829
311,26285829
312,26285829
313,26285829
314,26285829
315,26285829
316,26285829
317,26285829
318,26285829
319,26285829
320,26285829
321,26285829
322,26285829
323,26285829
324,26285829
325,26285829
326,26285829
327,26285829
328,26285829
329,26285829
330,26285829
331,26305829
332,26305829
333,26305829
334,26305829
335,26305829
336,26305829
337,26305829
338,26305829
339,26305829
340,26305829
341,26305829
342,26305829
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,10000
