day,value
0,2559400
1,563702
2,272040
3,2396122
4,1921000
5,767400
6,1192450
7,2388892
8,1864000
9,726781
10,2609782
11,2589782
12,795567
13,3586087
14,1473399
15,1582399
16,1771360
17,708360
18,852726
19,13084726
20,13221726
21,2996626
22,189939
23,189939
24,89031
25,689032
26,669608
27,669608
28,669608
29,36082
30,221082
31,22083
32,0
33,1710000
34,1000000
35,22890
36,33890
37,1953224
38,1829224
39,3790000
40,2680000
41,2015000
42,5216000
43,7636000
44,6476000
45,7000
46,7000
47,7163002
48,7163002
49,61000
50,61000
51,61000
52,161000
53,48003
54,48003
55,48003
56,2000000
57,3015000
58,1505000
59,4269000
60,0
61,5000000
62,5180000
63,5180000
64,10740000
65,10090000
66,15780000
67,296600
68,926252
69,1026252
70,1108481
71,2637686
72,2145000
73,314000
74,16000
75,16000
76,0
77,0
78,0
79,0
80,0
81,0
82,2000000
83,0
84,0
85,2000000
86,6890000
87,15040000
88,3040000
89,3040000
90,3050000
91,0
92,5010000
93,5010000
94,2000000
95,1720000
96,600000
97,60000
98,60000
99,60000
100,401303
101,1509937
102,6011937
103,1430000
104,7000000
105,10000000
106,10130000
107,10001000
108,10001000
109,578000
110,885000
111,12251000
112,14466000
113,15026000
114,15026000
115,501000
116,501000
117,3501000
118,3501000
119,2892000
120,3613000
121,83000
122,8713000
123,3812670
124,17033000
125,7000000
126,6701584
127,1020000
128,4452391
129,1490000
130,329839
131,1300000
132,1300000
133,4146000
134,5370000
135,5810000
136,5276000
137,5236000
138,84445
139,2084445
140,6660300
141,2560300
142,242100
143,5500000
144,7025667
145,11667
146,11667
147,11667
148,11667
149,11667
150,11667
151,11667
152,0
153,5000000
154,0
155,0
156,0
157,1000000
158,31651506
159,0
160,11925400
161,12532000
162,2958000
163,12500000
164,11333000
165,11333000
166,11333000
167,7981000
168,5000000
169,6395000
170,761000
171,92000
172,2352187
173,4940000
174,103550
175,103550
176,103550
177,526240
178,1100000
179,2130000
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,13502842
189,2550000
190,0
191,0
192,0
193,0
194,350000
195,5190800
196,1657467
197,1657467
198,47467
199,2095467
200,5020000
201,5020000
202,5020000
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,500001
216,390001
217,45625001
218,0
219,0
220,5000000
221,5000000
222,0
223,0
224,1038297
225,1408297
226,1408297
227,0
228,0
229,2000000
230,0
231,0
232,0
233,0
234,0
235,0
236,2000000
237,6250000
238,7440000
239,7440000
240,0
241,0
242,0
243,0
244,2000000
245,2000000
246,2000000
247,23700000
248,0
249,0
250,0
251,0
252,6254000
253,6214000
254,6214000
255,25711400
256,24701400
257,24701400
258,26191400
259,0
260,0
261,0
262,0
263,0
264,0
265,3640000
266,3810000
267,3810000
268,3810000
269,41600
270,41600
271,0
272,0
273,3749000
274,7195000
275,10046000
276,2512465
277,2512465
278,2592465
279,2010465
280,1026465
281,7026465
282,9526465
283,9531465
284,65562
285,14445562
286,19106562
287,1833250
288,65975
289,1842460
290,1842460
291,0
292,0
293,0
294,0
295,0
296,2320000
297,0
298,0
299,3978000
300,3978000
301,0
302,3500000
303,0
304,0
305,2500000
306,2500000
307,4078000
308,2795000
309,0
310,0
311,0
312,0
313,10634000
314,5043000
315,5043000
316,5043000
317,6393000
318,7608000
319,7608000
320,14388000
321,24418000
322,0
323,0
324,0
325,328000
326,10164500
327,15710000
328,0
329,0
330,2821800
331,7481179
332,0
333,154000
334,154000
335,154000
336,8221000
337,5381000
338,7408053
339,10557000
340,0
341,10526000
342,17816000
343,18051000
344,0
345,10200000
346,0
347,0
348,5094800
349,6649800
350,0
351,188352
352,34000
353,8260000
354,8260000
355,13700000
356,0
357,0
358,0
359,0
360,0
361,0
362,4996000
363,7002000
364,1137000
365,0
366,1450000
367,1450000
368,7042000
369,9430000
370,0
371,875000
372,1057000
373,0
374,323000
375,1280000
376,2394000
377,5319000
378,0
379,0
380,1054000
381,6789543
382,0
383,0
384,0
385,4621700
386,6220000
387,11470000
388,6282938
389,68640
390,68640
391,586640
392,92000
393,7668000
394,7720000
395,1593000
396,66201
397,158201
398,393201
399,393201
400,179000
401,809600
402,10342532
403,12024532
404,76257
405,76257
406,5076257
407,0
408,1550200
409,158000
410,358000
411,358000
412,2858000
413,3848000
414,0
415,2950000
416,2950000
417,269072
418,0
419,0
420,0
421,7584000
422,987000
423,0
424,168000
425,930100
426,3749100
427,3749100
428,3749100
429,5000000
430,0
431,0
432,0
433,2330000
434,0
435,0
436,0
437,1094000
438,1472000
439,13055000
440,16474000
441,16474000
442,16453000
443,0
444,29024000
445,0
446,415000
447,0
448,2527882
449,21652000
450,25313700
451,25602700
452,25602700
453,25602700
454,25602700
455,3659236
456,1624000
457,4124000
458,246000
459,246000
460,246000
461,2520000
462,3095000
463,475000
464,4085000
465,141901
466,175119
467,2675119
468,2675119
469,1152760
470,16015760
471,16015760
472,171138
473,79074
474,2832074
475,7435074
476,3709538
477,0
478,919410
479,179156
480,4679156
481,17182156
482,19682156
483,602156
484,946000
485,4201780
486,450800
487,115000
488,115000
489,21675387
490,3138960
491,2676232
492,3263506
493,3263506
494,19785004
495,133340
496,133340
497,6075270
498,7122050
499,2518050
500,870575
501,0
502,427000
503,427000
504,100872
505,436528
506,13166793
507,965860
508,579000
509,607880
510,607880
511,0
512,0
513,0
514,0
515,5057864
516,8098000
517,13344000
518,7314310
519,13228310
520,437306
521,2166000
522,4500136
523,0
524,0
525,6620345
526,7275007
527,7903007
528,0
529,1653000
530,0
531,0
532,2500000
533,2175859
534,0
535,3709000
536,3709000
537,1409800
538,853178
539,3353178
540,2894178
541,6265596
542,6937356
543,787000
544,0
545,0
546,1020000
547,90000
548,2300000
549,4256000
550,5103729
551,0
552,2500000
553,2500000
554,2500000
555,2820000
556,1004120
557,2475380
558,2475380
559,4975380
560,8955380
561,12268191
562,12268191
563,12268191
564,43096600
565,45274600
566,31793712
567,33070712
568,35390712
569,35390712
570,34126712
571,5951910
572,57041910
573,7061910
574,9041910
575,19371910
576,1202910
577,0
578,5600924
579,580924
580,5580924
581,2791627
582,91672
583,91672
584,91672
585,91672
586,91672
587,91672
588,25505598
589,5387598
590,0
591,0
592,0
593,0
594,0
595,2500000
596,768330
597,768330
598,768330
599,0
600,0
601,0
602,2500000
603,2650000
604,294800
605,0
606,0
607,0
608,2500000
609,0
610,0
611,6550000
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,305763
620,0
621,0
622,0
623,11591232
624,11591232
625,12362946
626,14322946
627,129302946
628,128762946
629,191262946
630,522946
631,241473
632,0
633,0
634,0
635,0
636,0
637,2686000
638,7330882
639,9165882
640,95882
641,95882
642,95882
643,95882
644,3095882
645,0
646,0
647,1679641
648,1679641
649,1679641
650,1679641
651,9157641
652,764000
653,764000
654,764000
655,764000
656,764000
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,1630743
673,0
674,0
675,0
676,0
677,0
678,116950
679,0
680,0
681,731000
682,731000
683,731000
684,731000
685,731000
686,731000
687,731000
688,731000
689,731000
690,132200
691,132200
692,132200
693,132200
694,132200
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,1317014
717,1317014
718,1317014
