day,value
0,10396236
1,474079
2,107373400
3,365415505
4,569381026
5,159527398
6,79398
7,69398
8,69398
9,69398
10,69398
11,69398
12,69398
13,69398
14,69398
15,69398
16,69398
17,69398
18,69398
19,69398
20,69398
21,69398
22,69398
23,69398
24,69398
25,69398
26,69398
27,69398
28,69398
29,69398
30,69398
31,69398
32,69398
33,69398
34,69398
35,69398
36,2069398
37,2069398
38,2069398
39,2069398
40,2069398
41,2069398
42,2069398
43,2069398
44,2069398
45,2069398
46,2069398
47,9398
48,9398
49,9398
50,9398
51,9398
52,9398
53,9398
54,9398
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,200000
231,200000
232,200000
233,200000
234,300000
235,300000
236,300000
237,300000
238,300000
239,300000
240,300000
241,300000
242,300000
243,300000
244,300000
245,400000
