day,value
0,92425
1,92425
2,92425
3,0
4,0
5,0
6,0
7,970887
8,958900
9,1930000
10,1930000
11,1930000
12,1930000
13,7072865
14,24997430
15,12435000
16,32160000
17,8416451
18,7756501
19,9797864
20,11457689
21,9075000
22,3528646
23,2754000
24,383141
25,1317369
26,22528754
27,17790369
28,39898844
29,37645290
30,9746395
31,15860411
32,50178000
33,0
34,42278218
35,43196901
36,25901854
37,46169364
38,33161874
39,50625483
40,67593882
41,39049541
42,178576810
43,123984336
44,133204084
45,137294494
46,23008541
47,174542025
48,165948895
49,105568460
50,95621161
51,84663856
52,77364247
53,66626459
54,1393605
55,6966477
56,1973145
57,3746688
58,34536
59,5532684
60,26577153
61,33859900
62,6173440
63,1171044
64,2513966
65,579908
66,270874185
67,27453245
68,208882669
69,172371959
70,70100982
71,48957271
72,8713706
73,7685613
74,14367867
75,5631366
76,441091
77,8471600
78,17036
79,2292294
80,4171255
81,7848802
82,20584758
83,298420
84,80751
85,12604396
86,8982235
87,12111019
88,22471852
89,1445515
90,93860690
91,151991966
92,104389052
93,65503309
94,44216187
95,4242387
96,1792009
97,1558438
98,1447789
99,1034478
100,20689407
101,24186435
102,0
103,400000
104,370769
105,8264185
106,0
107,266667
108,0
109,289318
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,306852
123,109822
124,109822
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,51000
178,51000
179,51000
180,51000
181,51000
182,51000
183,51000
184,51000
185,51000
186,51000
187,51000
188,51000
189,51000
190,51000
191,51000
192,51000
193,51000
194,51000
195,51000
196,51000
197,51000
198,51000
199,51000
200,51000
201,51000
202,51000
203,51000
204,51000
205,51000
206,51000
207,51000
208,51000
209,51000
210,51000
211,51000
212,51000
213,51000
214,51000
215,51000
216,51000
217,51000
218,51000
219,51000
220,51000
221,51000
222,51000
223,51000
224,51000
225,51000
226,51000
227,51000
228,51000
229,51000
230,51000
231,51000
232,51000
233,51000
234,51000
235,51000
236,51000
237,51000
238,51000
239,51000
240,51000
241,51000
242,51000
243,51000
244,51000
245,51000
246,51000
247,51000
248,51000
249,51000
250,51000
251,51000
252,51000
253,51000
254,51000
255,51000
256,51000
257,51000
258,51000
259,51000
260,51000
261,51000
262,51000
263,51000
264,51000
265,51000
266,51000
267,51000
268,51000
269,51000
270,51000
271,51000
272,51000
273,51000
274,51000
275,51000
276,51000
277,51000
278,51000
279,51000
280,51000
281,51000
282,51000
283,51000
284,51000
285,51000
286,51000
287,51000
288,51000
289,51000
290,51000
291,51000
292,51000
293,51000
294,51000
295,51000
296,51000
297,51000
298,51000
299,51000
300,51000
301,51000
302,51000
303,51000
304,51000
305,51000
306,51000
307,51000
308,51000
309,51000
310,51000
311,51000
312,51000
313,51000
314,51000
315,51000
316,51000
317,51000
318,51000
319,51000
320,51000
321,51000
322,51000
323,51000
324,51000
325,51000
326,51000
327,51000
328,51000
329,51000
330,51000
331,51000
332,51000
333,51000
334,51000
335,51000
336,51000
337,51000
338,51000
339,51000
340,51000
341,51000
342,51000
343,51000
344,51000
345,51000
346,51000
347,61000
348,61000
349,61000
350,61000
351,61000
352,61000
353,61000
354,61000
355,61000
356,61000
357,61000
358,61000
359,61000
360,61000
361,61000
362,61000
363,61000
364,61000
365,61000
366,61000
367,61000
368,61000
369,61000
370,61000
371,61000
372,61000
373,61000
374,61000
375,61000
376,61000
377,61000
378,61000
379,61000
380,61000
381,61000
382,61000
383,61000
384,61000
385,61000
386,61000
387,61000
388,61000
389,61000
390,61000
391,61000
392,61000
393,61000
394,61000
395,61000
396,61000
397,61000
398,61000
399,61000
400,61000
401,61000
402,61000
403,61000
404,61000
405,61000
406,61000
407,61000
408,61000
409,61000
410,61000
411,61000
412,61000
413,61000
414,61000
415,61000
416,61000
417,61000
418,61000
419,61000
420,61000
421,61000
422,71000
423,81000
