day,value
0,1000000
1,1585926
2,627993095
3,170103527
4,340663688
5,263204225
6,295204225
7,295414225
8,295914225
9,296979708
10,296979708
11,298979708
12,298979708
13,299079708
14,299079708
15,299079708
16,299079708
17,299079708
18,299079708
19,299079708
20,299079708
21,299179708
22,299179708
23,299179708
24,299179708
25,299179708
26,299179708
27,299179708
28,299179708
29,299179708
30,299179708
31,299179708
32,299179708
33,299179708
34,299179708
35,299179708
36,299179708
37,299179708
38,299179708
39,299179708
40,299179708
41,302679708
42,302679708
43,302679708
44,302679708
45,302679708
46,302679708
47,302679708
48,302679708
49,302679708
50,302679708
51,302679708
52,302679708
53,302679708
54,302679708
55,302679708
56,302679708
57,302679708
58,302679708
59,302679708
60,302679708
61,302679708
62,302679708
63,302679708
64,302679708
65,302679708
66,302679708
67,302679708
68,302679708
69,302679708
70,302679708
71,302679708
72,302679708
73,302679708
74,302679708
75,302679708
76,302679708
77,302679708
78,302679708
79,302679708
80,302679708
81,302679708
82,302679708
83,302679708
84,302679708
85,302679708
86,302679708
87,302679708
88,302679708
89,302679708
90,302679708
91,302679708
92,302679708
93,302679708
94,302679708
95,302679708
96,302679708
97,302679708
98,302679708
99,302679708
100,302679708
101,302679708
102,302679708
103,302699708
104,302699708
105,302699708
106,302699708
107,302699708
108,302699708
109,302699708
110,302699708
111,302699708
112,302699708
113,302699708
114,302699708
115,302699708
116,302699708
117,302699708
118,302699708
119,302699708
120,302699708
121,302699708
122,302699708
123,302699708
124,302699708
125,302699708
126,302699708
127,302699708
128,302699708
129,302699708
130,302699708
131,302699708
132,302699708
133,302699708
134,302699708
135,302699708
136,302699708
137,302699708
138,302699708
139,302699708
140,302699708
141,302699708
142,302699708
143,302699708
144,302699708
145,302699708
146,302699708
147,302699708
148,302699708
149,302699708
150,302699708
151,302699708
152,302699708
153,675990
154,675990
155,675990
156,675990
157,675990
158,675990
159,675990
160,675990
161,675990
162,675990
163,675990
164,675990
165,675990
166,675990
167,675990
168,675990
169,675990
170,675990
171,675990
172,675990
173,675990
174,675990
175,675990
176,675990
177,675990
178,675990
179,675990
180,675990
181,675990
182,675990
183,675990
184,675990
185,675990
186,675990
187,675990
188,675990
189,675990
190,675990
191,675990
192,675990
193,675990
194,675990
195,675990
196,675990
197,675990
198,675990
199,675990
200,675990
201,675990
202,675990
203,675990
204,675990
205,675990
206,675990
207,675990
208,675990
209,675990
210,675990
211,675990
212,677990
213,677990
214,677990
215,677990
216,677990
217,677990
218,677990
219,677990
220,677990
221,677990
222,677990
223,677990
224,677990
225,677990
226,677990
227,677990
228,677990
229,677990
230,677990
231,677990
232,677990
233,677990
234,677990
235,677990
236,677990
237,677990
238,677990
239,677990
240,677990
241,677990
242,677990
243,677990
244,677990
245,677990
246,677990
247,677990
248,677990
249,777990
250,777990
251,777990
252,777990
253,777990
254,777990
255,777990
256,777990
257,777990
258,777990
259,777990
260,777990
261,777990
262,777990
263,777990
264,777990
265,777990
266,777990
267,777990
268,777990
269,777990
270,777990
271,777990
272,777990
273,777990
274,777990
275,777990
276,777990
277,777990
278,777990
279,777990
280,777990
281,777990
282,777990
283,777990
284,777990
285,777990
286,777990
287,777990
288,777990
289,777990
290,777990
291,777990
292,777990
293,777990
294,777990
295,777990
296,777990
297,777990
298,777990
299,777990
300,777990
301,777990
302,777990
303,777990
304,777990
305,777990
306,777990
307,777990
308,777990
309,777990
310,777990
311,777990
312,777990
313,777990
314,777990
315,777990
316,777990
317,777990
318,777990
319,777990
320,777990
321,777990
322,777990
323,777990
324,777990
325,777990
326,777990
327,777990
328,777990
329,777990
330,777990
331,777990
332,777990
333,777990
334,877990
335,877990
336,877990
337,877990
338,877990
339,877990
340,877990
341,877990
342,877990
343,877990
344,877990
345,877990
346,877990
347,877990
348,877990
349,877990
350,877990
351,877990
352,877990
353,877990
354,877990
355,877990
356,877990
357,877990
358,877990
359,877990
360,877990
361,877990
362,877990
363,877990
364,877990
365,877990
366,877990
367,877990
368,877990
369,877990
370,877990
371,877990
372,877990
373,877990
374,877990
375,877990
376,877990
377,877990
378,877990
379,877990
380,877990
381,877990
382,877990
383,877990
384,877990
385,877990
386,877990
387,877990
388,877990
389,877990
390,877990
391,877990
392,877990
393,877990
394,877990
395,877990
396,877990
397,877990
398,877990
399,877990
400,877990
401,877990
402,877990
403,877990
404,877990
405,877990
406,877990
407,877990
408,877990
409,877990
410,877990
411,877990
412,877990
413,877990
414,877990
415,877990
416,877990
417,877990
418,877990
419,877990
420,877990
421,877990
422,877990
423,877990
424,877990
425,877990
426,877990
427,877990
428,877990
429,877990
430,877990
431,877990
432,877990
433,877990
434,877990
435,877990
436,877990
437,877990
438,877990
439,877990
440,877990
441,877990
442,877990
443,877990
444,877990
445,877990
446,877990
447,877990
448,877990
449,877990
450,877990
451,877990
452,877990
453,877990
454,877990
455,877990
456,877990
457,877990
458,877990
459,877990
460,877990
461,877990
462,877990
463,877990
464,877990
465,877990
466,877990
467,877990
468,877990
469,877990
470,877990
471,877990
472,877990
473,877990
474,877990
475,877990
476,877990
477,877990
478,877990
479,877990
480,877990
481,877990
482,877990
483,877990
484,877990
485,877990
486,877990
487,877990
488,877990
489,877990
490,877990
491,877990
492,877990
493,877990
494,877990
495,877990
496,877990
497,877990
498,877990
499,877990
500,877990
501,877990
502,877990
503,877990
504,877990
505,877990
506,877990
507,877990
508,877990
509,877990
510,877990
511,877990
512,877990
513,877990
514,877990
515,877990
516,877990
517,877990
518,877990
519,877990
520,877990
521,877990
522,877990
523,877990
524,877990
525,877990
526,877990
527,877990
528,877990
529,877990
530,877990
531,877990
532,877990
533,877990
534,877990
535,877990
536,877990
537,877990
538,877990
539,877990
540,877990
541,877990
542,877990
543,877990
544,877990
545,877990
546,877990
547,877990
548,877990
549,877990
550,877990
551,877990
552,877990
553,877990
554,877990
555,877990
556,877990
557,877990
558,877990
559,877990
560,877990
561,877990
562,877990
563,877990
564,877990
565,877990
566,877990
567,877990
568,877990
569,877990
570,877990
571,877990
572,877990
573,877990
574,877990
575,877990
576,877990
577,877990
578,877990
579,877990
580,877990
581,877990
582,877990
583,877990
584,877990
585,877990
586,877990
587,877990
588,877990
589,877990
590,877990
591,877990
592,877990
593,877990
594,877990
595,877990
596,877990
597,877990
598,877990
599,877990
600,877990
601,877990
602,877990
603,877990
604,877990
605,877990
606,877990
607,877990
608,877990
609,877990
610,877990
611,877990
612,877990
613,877990
614,877990
615,877990
616,877990
617,877990
618,877990
619,877990
620,877990
621,877990
622,877990
623,877990
624,877990
625,877990
626,877990
627,877990
628,877990
629,877990
630,877990
631,877990
632,877990
633,877990
634,877990
635,877990
636,877990
637,877990
638,877990
639,877990
640,877990
641,877990
642,877990
643,877990
644,877990
645,877990
646,877990
647,877990
648,877990
649,877990
650,877990
651,877990
652,877990
653,877990
654,877990
655,877990
656,877990
657,877990
658,877990
659,877990
660,877990
661,877990
662,877990
663,877990
664,877990
665,877990
666,877990
667,877990
668,877990
669,877990
670,877990
671,877990
672,877990
673,877990
674,877990
675,877990
676,877990
677,877990
678,877990
679,877990
680,877990
681,877990
682,877990
683,877990
684,877990
685,877990
686,877990
687,877990
688,877990
689,877990
690,877990
691,877990
692,877990
693,877990
694,877990
695,877990
696,877990
697,877990
698,877990
699,877990
700,877990
701,877990
702,877990
703,877990
704,877990
705,877990
706,877990
707,877990
708,877990
709,877990
710,877990
711,877990
712,877990
713,877990
714,877990
715,877990
716,877990
717,877990
718,877990
719,877990
720,877990
721,877990
722,877990
723,877990
724,877990
725,877990
726,877990
727,877990
728,877990
729,877990
730,877990
731,877990
732,877990
733,877990
734,877990
735,877990
736,877990
737,877990
738,877990
739,877990
740,1004990
741,1004990
742,1004990
743,1004990
744,1004990
745,1004990
746,1004990
747,1004990
748,1004990
749,1004990
750,1004990
751,1004990
752,1004990
753,1004990
754,1004990
755,1004990
756,1004990
757,1004990
758,1004990
759,1004990
760,1004990
761,1004990
762,1004990
763,1004990
764,1004990
765,1004990
766,1004990
767,1004990
768,1004990
769,1004990
770,1004990
771,1004990
772,1004990
773,1004990
774,1004990
775,1004990
776,1004990
777,1004990
778,1004990
779,1004990
780,1004990
781,1004990
782,1004990
783,1004990
784,1004990
785,1004990
786,1004990
787,1004990
788,1004990
789,1004990
790,1004990
791,1004990
792,1004990
793,1004990
794,1004990
795,1004990
796,1004990
797,1004990
798,1004990
799,1004990
800,1004990
801,1004990
802,1004990
803,1004990
804,1004990
805,1004990
806,1004990
807,1004990
808,1004990
809,1004990
810,1004990
811,1004990
812,1004990
813,1004990
814,1004990
815,1004990
816,1004990
817,1004990
818,1004990
819,1004990
820,1004990
821,1004990
822,1004990
823,1004990
824,1004990
825,1004990
826,1004990
827,1004990
828,1004990
829,1004990
830,1004990
831,1004990
832,1004990
833,1004990
834,1004990
835,1004990
836,1004990
837,1004990
838,1004990
839,1004990
840,1004990
841,1004990
842,1004990
843,1004990
844,1004990
845,1004990
846,1004990
847,1004990
848,1004990
849,1004990
850,1004990
851,1014990
852,1014990
853,1014990
854,1014990
855,1014990
856,1014990
857,1014990
858,1014990
859,1014990
860,1014990
861,1014990
862,1014990
863,1014990
864,1014990
865,1014990
866,1014990
867,1014990
868,1014990
869,1014990
870,1014990
871,1014990
872,1014990
873,1014990
874,1014990
875,1014990
876,1014990
877,1014990
878,1014990
879,1014990
880,1014990
881,1014990
882,1014990
883,1014990
884,1014990
885,1014990
886,1014990
887,1014990
888,1014990
889,1014990
890,1014990
891,1014990
892,1014990
893,1014990
894,1014990
895,1014990
896,1014990
897,1014990
898,1014990
899,1014990
900,1014990
901,1014990
902,1014990
903,1014990
904,1014990
905,1014990
906,1014990
907,1014990
908,1014990
909,1014990
910,1014990
911,1014990
912,1014990
913,1014990
914,1014990
915,1014990
916,1014990
917,1014990
918,1014990
919,1014990
920,1014990
921,1014990
922,1014990
923,1014990
924,1014990
925,1014990
926,1014990
927,1014990
928,1014990
929,1014990
930,1014990
931,1014990
932,1014990
933,1014990
934,1014990
935,1014990
936,1014990
937,1014990
938,1014990
939,1014990
940,1014990
941,1014990
942,1014990
943,1014990
944,1014990
945,1014990
946,1014990
947,1014990
948,1014990
949,2014990
