day,value transactions in,value transactions out
0,400000,310000,
1,270000,210000,
2,75081,85081,
3,7770612,0,
4,0,0,
5,28309719,8613000,
6,81331754,0,
7,112496177,4106631,
8,130000000,14188040,
9,0,2685230,
10,0,1715577,
11,61561958,29300935,
12,144097974,241198696,
13,151895581,8917779,
14,20872238,5241436,
15,35141934,12582687,
16,236222914,0,
17,92122833,73016033,
18,50020182,50567780,
19,8145438,149103223,
20,480659,12712638,
21,432414848,45959196,
22,450680311,280710604,
23,0,239656199,
24,0,46444937,
25,0,761805081,
26,200000000,25422697,
27,0,157143665,
28,0,71252998,
29,0,1284230,
30,0,35057,
31,65640000,8229973,
32,0,36182007,
33,0,12960955,
34,65880000,6727423,
35,0,56171979,
36,180860000,62342683,
37,0,104852227,
38,276230000,194728542,
39,0,22741789,
40,100000000,82643621,
41,0,83025999,
42,100000000,67648038,
43,470732673,75965964,
44,4469622000,339941816,
45,0,497877205,
46,36250000,81318998,
47,23300000,39261696,
48,0,105051594,
49,320230000,22927481,
50,251490000,86748259,
51,144040000,32379769,
52,390470000,602679990,
53,209560000,108707525,
54,163550000,172460407,
55,270050000,744343631,
56,213380000,2373255417,
57,219830000,299218904,
58,535770000,121594700,
59,578880000,73303824,
60,313740000,281009948,
61,554510000,86828164,
62,115850000,524025048,
63,444750000,119665758,
64,5156610701,322745538,
65,392007732,2535936263,
66,589139319,44022892,
67,232980247,350776263,
68,190060000,1142429454,
69,1067540000,2112517665,
70,935510000,436787360,
71,1068490000,141659937,
72,319379126,457169570,
73,547300253,906361879,
74,776654196,733943222,
75,1252302578,153567362,
76,1878631816,6847007659,
77,12485743333,9346639084,
78,2786842131,315663950,
79,390013131,485343235,
80,1371757256,2063656199,
81,808064043,1535053821,
82,774922254,554941303,
83,2422010002,5991764661,
84,1211912383,2171422874,
85,876896131,453979691,
86,938090000,1681925034,
87,972890000,1048952663,
88,2644452004,2253272143,
89,729940000,706408171,
90,1824660000,2160598446,
91,1988940000,518509771,
92,901030000,1000243059,
93,1144760000,894294599,
94,1057700000,644734751,
95,305460000,525195214,
96,129540000,1741660751,
97,1018520000,1747222827,
98,1283930000,337429791,
99,1983569463,2565763604,
100,528830000,456253236,
101,710150000,931383215,
102,1174130000,1190788921,
103,603070000,292821476,
104,816780000,182570297,
105,360190000,1195529551,
106,721990000,648019200,
107,601690000,10678946,
108,441100000,1559526267,
109,0,0,
110,0,0,
111,0,0,
112,0,0,
113,0,0,
114,0,0,
115,0,0,
116,0,0,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,0,0,
126,0,0,
127,0,0,
128,0,0,
129,0,0,
130,0,0,
131,0,0,
132,0,0,
133,0,0,
134,0,0,
135,0,0,
136,0,0,
137,0,0,
138,0,0,
139,0,0,
140,0,0,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,0,
153,0,0,
154,0,0,
155,0,0,
156,0,0,
157,0,0,
158,0,0,
159,0,0,
160,0,0,
161,0,0,
162,0,0,
163,0,0,
164,0,0,
165,0,0,
166,0,0,
167,0,0,
168,0,0,
169,0,0,
170,0,0,
171,0,0,
172,0,0,
173,0,0,
174,0,0,
175,0,0,
176,0,0,
177,0,0,
178,0,0,
179,0,0,
180,0,0,
181,0,0,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,0,0,
188,0,0,
189,0,0,
190,0,0,
191,0,0,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,0,0,
203,0,0,
204,0,0,
205,0,0,
206,0,0,
207,0,0,
208,0,0,
209,0,0,
210,0,0,
211,0,0,
212,0,0,
213,0,0,
214,0,0,
215,0,0,
216,0,0,
217,0,0,
218,0,0,
219,0,0,
220,0,0,
221,0,0,
222,0,0,
223,0,0,
224,0,0,
225,0,0,
226,0,0,
227,0,0,
228,0,0,
229,0,0,
230,0,0,
231,0,0,
232,0,0,
233,0,0,
234,0,0,
235,0,0,
236,0,0,
237,0,0,
238,0,0,
239,0,0,
240,0,0,
241,0,0,
242,0,0,
243,0,0,
244,0,0,
245,0,0,
246,0,0,
247,0,0,
248,0,0,
249,0,0,
250,0,0,
251,0,0,
252,0,0,
253,0,0,
254,0,0,
255,0,0,
256,0,0,
257,0,0,
258,0,0,
259,0,0,
260,0,0,
261,0,0,
262,0,0,
263,0,0,
264,0,0,
265,0,0,
266,0,0,
267,0,0,
268,0,0,
269,0,0,
270,0,0,
271,0,0,
272,0,0,
273,0,0,
274,0,0,
275,0,0,
276,0,0,
277,0,0,
278,0,0,
279,0,0,
280,0,0,
281,0,0,
282,0,0,
283,0,0,
284,0,0,
285,0,0,
286,0,0,
287,0,0,
288,0,0,
289,0,0,
290,0,0,
291,0,0,
292,0,0,
293,0,0,
294,0,0,
295,0,0,
296,0,0,
297,0,0,
298,0,0,
299,0,0,
300,0,0,
301,0,0,
302,0,0,
303,0,0,
304,0,0,
305,0,0,
306,0,0,
307,0,0,
308,0,0,
309,0,0,
310,0,0,
311,0,0,
312,0,0,
313,0,0,
314,0,0,
315,0,0,
316,0,0,
317,0,0,
318,0,0,
319,0,0,
320,0,0,
321,0,0,
322,0,0,
323,0,0,
324,0,0,
325,0,0,
326,0,0,
327,0,0,
328,0,0,
329,0,0,
330,0,0,
331,0,0,
332,0,0,
333,0,0,
334,0,0,
335,0,0,
336,0,0,
337,0,0,
338,0,0,
339,0,0,
340,0,0,
341,0,0,
342,0,0,
343,0,0,
344,0,0,
345,0,0,
346,0,0,
347,0,0,
348,0,0,
349,0,0,
350,0,0,
351,0,0,
352,0,0,
353,0,0,
354,0,0,
355,0,0,
356,0,0,
357,0,0,
358,0,0,
359,0,0,
360,0,0,
361,0,0,
362,0,0,
363,0,0,
364,0,0,
365,0,0,
366,0,0,
367,0,0,
368,0,0,
369,0,0,
370,0,0,
371,0,0,
372,0,0,
373,0,0,
374,0,0,
375,0,0,
376,0,0,
377,0,0,
378,0,0,
379,0,0,
380,0,0,
381,0,0,
382,0,0,
383,0,0,
384,0,0,
385,0,0,
386,0,0,
387,0,0,
388,0,0,
389,0,0,
390,0,0,
391,0,0,
392,0,0,
393,0,0,
394,0,0,
395,0,0,
396,0,0,
397,0,0,
398,0,0,
399,0,0,
400,0,0,
401,0,0,
402,0,0,
403,0,0,
404,0,0,
405,0,0,
406,0,0,
407,0,0,
408,0,0,
409,0,0,
410,0,0,
411,0,0,
412,0,0,
413,0,0,
414,0,0,
415,0,0,
416,0,0,
417,0,0,
418,0,0,
419,0,0,
420,0,0,
421,0,0,
422,0,0,
423,0,0,
424,0,0,
425,0,0,
426,0,0,
427,0,0,
428,0,0,
429,0,0,
430,0,0,
431,0,0,
432,0,0,
433,0,0,
434,0,0,
435,0,0,
436,0,0,
437,0,0,
438,0,0,
439,0,0,
440,0,0,
441,0,0,
442,0,0,
443,0,0,
444,0,0,
445,0,0,
446,0,0,
447,0,0,
448,10000,0,
449,10000,0,
