day,value transactions in,value transactions out
0,47952400,45393000,
1,27699276,29694974,
2,21478101,21769763,
3,26027528,23903446,
4,11708923,12184045,
5,118400677,119554277,
6,13828100,13403050,
7,5718465,4522023,
8,7587000,8111892,
9,6746781,7884000,
10,4183001,2300000,
11,990000,1010000,
12,7589567,9383782,
13,6987000,4196480,
14,9737312,11850000,
15,5939000,5830000,
16,9148961,8960000,
17,2188000,3251000,
18,14240129,14095763,
19,16432000,4200000,
20,3127000,2990000,
21,29564000,39789100,
22,21586613,24393300,
23,0,0,
24,29414514,29515422,
25,600001,0,
26,90576,110000,
27,0,0,
28,0,0,
29,13481690,14115216,
30,185000,0,
31,251001,450000,
32,0,22083,
33,5145000,3435000,
34,9190000,9900000,
35,901800,1878910,
36,121000,110000,
37,44602667,42683333,
38,5616000,5740000,
39,11320000,9359224,
40,0,1110000,
41,1365000,2030000,
42,12346000,9145000,
43,5160000,2740000,
44,8960000,10120000,
45,9181000,15650000,
46,0,0,
47,12986002,5830000,
48,0,0,
49,13386000,20488002,
50,0,0,
51,0,0,
52,100000,0,
53,1537003,1650000,
54,0,0,
55,0,0,
56,2000000,48003,
57,5705000,4690000,
58,0,1510000,
59,10284000,7520000,
60,500000,4769000,
61,5000000,0,
62,1190000,1010000,
63,0,0,
64,8180000,2620000,
65,3250000,3900000,
66,5800000,110000,
67,10578600,26062000,
68,12747512,12117860,
69,100000,0,
70,708481,626252,
71,7669205,6140000,
72,6396694,6889380,
73,4469000,6300000,
74,4000000,4298000,
75,0,0,
76,0,16000,
77,2000000,2000000,
78,0,0,
79,0,0,
80,0,0,
81,0,0,
82,2000000,0,
83,3626000,5626000,
84,0,0,
85,2000000,0,
86,6000000,1110000,
87,8920000,770000,
88,640000,12640000,
89,0,0,
90,1930000,1920000,
91,0,3050000,
92,5540000,530000,
93,0,0,
94,0,3010000,
95,30000,310000,
96,0,1120000,
97,0,540000,
98,0,0,
99,0,0,
100,341303,0,
101,1108634,0,
102,7582000,3080000,
103,2500000,7081937,
104,8777000,3207000,
105,3000000,0,
106,640000,510000,
107,3771000,3900000,
108,0,0,
109,578000,10001000,
110,1537000,1230000,
111,17041000,5675000,
112,8235000,6020000,
113,6220000,5660000,
114,0,0,
115,0,14525000,
116,0,0,
117,3000000,0,
118,0,0,
119,5381000,5990000,
120,14541000,13820000,
121,1020000,4550000,
122,9180000,550000,
123,17694000,22594330,
124,18043000,4822670,
125,33400000,43433000,
126,23675104,23973520,
127,36460863,42142447,
128,8202391,4770000,
129,22478000,25440391,
130,18369839,19530000,
131,15400000,14429839,
132,0,0,
133,6566000,3720000,
134,1500000,276000,
135,2460000,2020000,
136,10236000,10770000,
137,1020000,1060000,
138,21196671,26348226,
139,2000000,0,
140,28734300,24158445,
141,3030000,7130000,
142,29175800,31494000,
143,10701120,5443220,
144,125696367,124170700,
145,6176000,13190000,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,11667,
153,5000000,0,
154,0,5000000,
155,0,0,
156,0,0,
157,1000000,0,
158,36002594,5351088,
159,1730000,33381506,
160,46066400,34141000,
161,37174600,36568000,
162,6468000,16042000,
163,15572000,6030000,
164,2297000,3464000,
165,0,0,
166,0,0,
167,6058000,9410000,
168,16737000,19718000,
169,8575000,7180000,
170,761000,6395000,
171,671000,1340000,
172,3270187,1010000,
173,15850000,13262187,
174,5512050,10348500,
175,0,0,
176,0,0,
177,4781690,4359000,
178,2551000,1977240,
179,2440000,1410000,
180,868000,2998000,
181,0,0,
182,0,0,
183,5039000,5039000,
184,1000000,1000000,
185,0,0,
186,0,0,
187,0,0,
188,15092842,1590000,
189,2550000,13502842,
190,4513000,7063000,
191,0,0,
192,0,0,
193,0,0,
194,350000,0,
195,5849800,1009000,
196,37006667,40540000,
197,0,0,
198,0,1610000,
199,2048000,0,
200,5020000,2095467,
201,0,0,
202,0,0,
203,2140000,7160000,
204,0,0,
205,0,0,
206,0,0,
207,0,0,
208,3442000,3442000,
209,0,0,
210,0,0,
211,0,0,
212,0,0,
213,0,0,
214,0,0,
215,500001,0,
216,0,110000,
217,45235000,0,
218,34390088,80015089,
219,0,0,
220,5000000,0,
221,0,0,
222,2831000,7831000,
223,0,0,
224,2386629,1348332,
225,370000,0,
226,0,0,
227,20831661,22239958,
228,0,0,
229,2000000,0,
230,160000,2160000,
231,0,0,
232,0,0,
233,0,0,
234,0,0,
235,0,0,
236,2210000,210000,
237,4250000,0,
238,1970000,780000,
