day,value transactions in,value transactions out
0,15661450,206113,
1,46961682,2273371,
2,68827884,6163717,
3,5147750,499500,
4,0,72948352,
5,0,17562389,
6,19070300,21224534,
7,19990000,0,
8,4000000,2631162,
9,90566475,93686104,
10,0,1473819,
11,11695920,35500292,
12,0,1725783,
13,25570000,36597531,
14,0,0,
15,4150240,0,
16,0,738197,
17,4192000,15201743,
18,73710000,69590918,
19,6251700,1026819,
20,0,337144,
21,4132400,391608,
22,4197000,323680,
23,5270000,4760029,
24,63236000,6886028,
25,0,18525083,
26,142461100,5894404,
27,4241780,16241677,
28,117117683,25285526,
29,25159500,7620059,
30,258404300,390736282,
31,384714898,20246216,
32,519972540,659469335,
33,0,44977553,
34,11631157,133226545,
35,0,6953133,
36,5980000,16495673,
37,20350500,90992903,
38,13676463,147927500,
39,167130552,76575081,
40,91934362,128898384,
41,120468913,91807381,
42,384760122,310040000,
43,5388739,8616214,
44,77363350,111940800,
45,5143101,91003892,
46,1,23285134,
47,79600934,88999900,
48,252304925,112325685,
49,39457075,55331490,
50,41801625,61440118,
51,764790800,147484168,
52,90946175,109856758,
53,35041201,66921636,
54,63535198,116315711,
55,56541438,13167288,
56,11932746,7546941,
57,49966180,10627599,
58,12534423,16101260,
59,333218530,29519661,
60,5310000,133211991,
61,38919760,13504026,
62,442966271,947865409,
63,94523030,15944707,
64,80866603,760737,
65,39142530,16377701,
66,667531105,-68494697,
67,96023874,-11784212,
68,304126898,594230860,
69,396986318,131613207,
70,4290295,4751865,
71,124702035,12958979,
72,81802770,134357077,
73,182567263,54370841,
74,524893579,237821145,
75,272716723,199569761,
76,93079987,187107499,
77,289568740,46248349,
78,168993939,49926887,
79,199648275,99448979,
80,360268049,2539707327,
81,577265425,376269862,
82,129769311,197300476,
83,109616456,234994202,
84,366362550,49874566,
85,146767767,39607838,
86,55751311,215310465,
87,11984320,145538536,
88,302295453,148887362,
89,293052770,126488909,
90,81439345,154589740,
91,508387179,104392126,
92,126440280,71806915,
93,267827763,209707533,
94,946945538,173897094,
95,204957445,196433719,
96,188997765,1089500646,
97,187370150,152122225,
98,126009764,67989180,
99,1359827394,213953685,
100,283495936,306878757,
101,679128564,257454004,
102,442096091,247684286,
103,406719200,259536154,
104,256697048,1579941617,
105,899716278,1125948806,
106,570244014,149862686,
107,420773721,282471595,
108,578535922,271345807,
109,302891710,275483254,
110,233182357,299313173,
111,320652200,224513923,
112,163809997,25784586,
113,407487152,123181481,
114,392306265,232029308,
115,687006812,368915101,
116,180551845,293633502,
117,282520566,334689969,
118,256510725,217484752,
119,426537200,61946957,
120,581482484,80420762,
121,89424811,263803475,
122,277941951,254821996,
123,258396115,244294959,
124,837527878,260169535,
125,250209621,235477619,
126,351560525,44342949,
127,330275580,99988319,
128,370755311,209098633,
129,116615350,209692165,
130,2262788191,408207898,
131,226512923,1032731044,
132,632443231,320567328,
133,230778122,235467774,
134,404857331,66652531,
135,414651300,247959604,
136,594850641,5832872674,
137,392087114,201494589,
138,136602807,189840249,
139,2263887274,194120380,
140,762172827,188137736,
141,1085415425,38853947,
142,483536574,316467045,
143,991056532,273630444,
144,391160080,298485456,
145,851059362,194087232,
146,1051680061,187671508,
147,270187882,82273432,
148,566850205,75750440,
149,394005607,187912557,
150,542966659,127008948,
151,122463800,187480692,
152,1801390390,267277692,
153,647277205,245422385,
154,125356000,125660305,
155,797516124,8633136476,
156,833917942,70864854,
157,417569720,125871228,
158,57717591,58947463,
159,216148020,84745506,
160,194558280,32675958,
161,90915371,0,
162,0,9819035,
163,162946734,23769684,
164,444962606,55860340,
165,62255235,35998536,
166,23580340,30925732,
167,0,9421589,
168,56896750,11187429,
169,0,15999975,
170,0,0,
171,0,14988566,
172,0,17051102,
173,660793,12604840,
174,44342000,0,
175,75643120,0,
176,97355974,0,
177,0,11560828,
178,0,0,
179,0,462427,
180,0,0,
181,59500000,9245047,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,0,423223,
188,0,0,
189,0,45011614,
190,0,0,
191,0,0,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,0,5418649702,
