day,value transactions in,value transactions out
0,346856,42428,
1,0,0,
2,1758396,0,
3,229438,239438,
4,0,414428,
5,0,207167,
6,7454342,203484,
7,15183448,1737952,
8,23884590,959337,
9,1000000,4640575,
10,40962872,55112938,
11,39925293,8113376,
12,7848308,13380347,
13,1557390,31337957,
14,79206962,15519851,
15,1577013,66034023,
16,251849293,31059626,
17,143859980,273298594,
18,95277763,31062673,
19,0,32084192,
20,0,42213725,
21,9815116,105844398,
22,322495211,282849089,
23,243085199,146675312,
24,2123894,144707708,
25,6216696,6766739,
26,0,573126,
27,10480435,0,
28,0,3716564,
29,0,0,
30,0,7343448,
