day,value transactions in,value transactions out
0,4985000,0,
1,6975000,7020000,
2,2985000,0,
3,995000,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,0,0,
33,0,0,
34,0,0,
35,0,0,
36,0,0,
37,0,0,
38,0,0,
39,0,0,
40,0,0,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,3000000,11030000,
48,0,0,
49,0,0,
50,0,0,
51,0,0,
52,0,0,
53,0,0,
54,0,0,
55,0,0,
56,0,0,
57,0,0,
58,0,0,
59,0,0,
60,10074452,1010000,
61,0,0,
62,0,0,
63,0,0,
64,0,0,
65,0,0,
66,0,0,
67,44915000,1010000,
68,36815000,0,
69,16915000,17110000,
70,98507000,0,
71,682403000,100020000,
72,19900000,0,
73,0,71820000,
74,416892000,0,
75,12935000,0,
76,21890000,1010000,
77,0,0,
78,6920000,21420000,
79,0,18310000,
80,0,0,
81,8955000,0,
82,0,0,
83,0,0,
84,11343000,0,
85,818490000,0,
86,609937000,820540000,
87,15920000,0,
88,815111000,1002020000,
89,4975000,18240000,
90,0,10650000,
91,0,0,
92,10248000,0,
93,15223000,0,
94,0,14520000,
95,39700000,0,
96,0,0,
97,0,0,
98,0,11010000,
99,46689107,110000,
100,0,0,
101,51535185,14010000,
102,17244289,0,
103,3980000,1010000,
104,0,0,
105,0,26561000,
106,497490000,0,
107,0,0,
108,0,0,
109,27860000,0,
110,9940000,0,
111,37014000,0,
112,10042401,0,
113,33836693,0,
114,32238000,11100,
115,13631000,129705400,
116,29850000,1010000,
117,42955000,0,
118,126200000,8010000,
119,308000,0,
120,14941275,0,
121,9950000,0,
122,12039000,0,
123,620163,60020000,
124,1438344,0,
125,40803000,10538000,
126,13790000,0,
127,961563120,119336000,
128,123795784,100040000,
129,39750000,27412000,
130,184431000,39310000,
131,96605000,90020000,
132,258744000,6920000,
133,9950000,0,
134,70646000,89639170,
135,6693982,46400,
136,841891058,942315040,
137,0,12000,
138,0,2790600,
139,10945000,463061000,
140,199000,0,
141,123628000,504840100,
142,15786908,148200550,
143,431755000,14000,
144,0,9010000,
145,10348000,0,
146,9950000,0,
147,19999000,54220592,
148,550973053,16020000,
149,136316000,136656666,
150,101064554,0,
151,219717274,188680800,
152,1216310015,10010000,
153,133568738,160782050,
154,825457990,1154870000,
155,405759032,10010000,
156,224142646,790792600,
157,71372375,103290000,
158,986763000,1300030000,
159,163496189,0,
160,379942607,0,
161,167478803,0,
162,44883000,5320000,
163,110922000,18229459,
164,547421042,791200,
165,207848000,1010000,
166,220784000,1010000,
