day,value transactions in,value transactions out
0,4673440,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,3104430,0,
12,26360800,0,
13,61237600,4080224,
14,8910211,1141992,
15,11768781,6590144,
16,69625143,6950012,
17,5532320,5633713,
18,18024900,439837,
19,100950000,5138004,
20,0,5232611,
21,30230490,630018,
22,5211030,150675367,
23,64197488,19594801,
24,5088000,54271395,
25,99864916,3497235,
26,44415560,44157004,
27,12969000,67502356,
28,104248536,2147674,
29,70897850,63556534,
30,100860429,103364139,
31,72295368,120453394,
32,45616521,18936483,
33,34661191,17985315,
34,56459668,41110574,
35,345805797,13169373,
36,137758100,19346212,
37,150766720,38451218,
38,209931991,164449275,
39,105947256,151980307,
40,121179898,120293803,
41,460450479,134180678,
42,219425037,729270278,
43,168879875,85445030,
44,64686232,104258411,
45,257785850,151859479,
46,181438935,8172409,
47,799433675,851687504,
48,608311138,569495896,
49,142470747,178418050,
50,1289351677,604416617,
51,581482846,140572553,
52,144287783,365931426,
53,1681540516,1356631617,
54,1402120500,276184926,
55,937938307,1058872628,
56,712972380,923647584,
57,1045333625,267163321,
58,527357587,228636214,
59,193611349,607931059,
60,80204579,2819596120,
61,696106240,88493384,
62,31487154,686088982,
63,38282920,70938943,
64,404938389,50610458,
65,89823113,107159697,
66,31848573,82149881,
67,22581412,1075224246,
68,61073268,28836474,
69,44046615,75248220,
70,7991000,69740664,
71,45651150,39827242,
72,2666310,15441190,
73,31602509,5409663,
74,52003960,34451458,
75,12485640,15416276,
76,0,7755941,
77,5900000,0,
78,16877500,9145811,
79,0,0,
80,0,0,
81,285290000,1438819,
82,2963140,10014501,
83,3030000,12914359,
84,66009600,0,
85,0,7538382,
86,0,7042509,
87,4155600,1082732,
88,0,314987670,
89,752742310,2057926,
90,608918500,12326174,
91,3098660,1401010000,
92,9300000,1533313,
93,331124500,19702690,
94,0,3297539,
95,0,0,
96,0,32292869,
97,19763413,7762791,
98,5391856,0,
99,0,8854266,
100,0,0,
101,5533352,219178914,
102,0,0,
103,350895717,14926087,
104,0,0,
105,3450180,9662554,
106,3578000,0,
107,0,24084090,
108,3622140,0,
109,0,0,
110,0,7227506,
111,0,0,
112,26263250,0,
113,0,0,
114,0,0,
115,147682930,0,
116,0,0,
117,14244620,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,0,0,
126,4251260,580030000,
