day,transactions in,transactions out
0,73,28,
1,74,36,
2,61,41,
3,84,43,
4,34,19,
5,65,51,
6,45,27,
7,26,17,
8,23,16,
9,12,5,
10,15,12,
11,1,1,
12,31,21,
13,17,4,
14,30,21,
15,27,15,
16,27,21,
17,10,8,
18,31,16,
19,22,9,
20,8,9,
21,111,39,
22,119,42,
23,0,0,
24,136,46,
25,2,0,
26,1,1,
27,0,0,
28,0,0,
29,81,37,
30,1,0,
31,6,2,
32,0,1,
33,9,3,
34,42,26,
35,11,6,
36,3,1,
37,216,38,
38,33,8,
39,7,6,
40,0,1,
41,6,3,
42,11,8,
43,12,4,
44,5,4,
45,3,4,
46,0,0,
47,23,9,
48,0,0,
49,30,22,
50,0,0,
51,0,0,
52,1,0,
53,7,6,
54,0,0,
55,0,0,
56,1,1,
57,16,9,
58,0,1,
59,25,3,
60,1,1,
61,1,0,
62,1,1,
63,0,0,
64,12,2,
65,6,9,
66,4,1,
67,36,20,
68,33,22,
69,1,0,
70,2,1,
71,2,4,
72,15,12,
73,13,7,
74,2,4,
75,0,0,
76,0,1,
77,1,1,
78,0,0,
79,0,0,
80,0,0,
81,0,0,
82,1,0,
83,21,10,
84,0,0,
85,1,0,
86,2,1,
87,2,2,
88,2,3,
89,0,0,
90,4,2,
91,0,1,
92,2,2,
93,0,0,
94,0,1,
95,3,1,
96,0,1,
97,0,1,
98,0,0,
99,0,0,
100,2,0,
101,2,0,
102,1,2,
103,1,2,
104,2,2,
105,1,0,
106,1,1,
107,6,5,
108,0,0,
109,1,2,
110,13,2,
111,40,8,
112,2,2,
113,6,6,
114,0,0,
115,0,1,
116,0,0,
117,1,0,
118,0,0,
119,14,7,
120,37,9,
121,10,3,
122,3,1,
123,6,3,
124,2,3,
125,37,17,
126,41,17,
127,68,31,
128,5,4,
129,32,17,
130,16,7,
131,13,6,
132,0,0,
133,10,3,
134,1,1,
135,4,2,
136,18,8,
137,3,1,
138,41,21,
139,2,0,
140,27,16,
141,5,2,
142,3,2,
143,30,16,
144,21,13,
145,21,5,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,1,
153,1,0,
154,0,1,
155,0,0,
156,0,0,
157,1,0,
158,18,10,
159,12,6,
160,37,15,
161,26,12,
162,8,3,
163,20,6,
164,6,3,
165,0,0,
166,0,0,
167,17,6,
168,8,6,
169,11,5,
170,1,2,
171,1,2,
172,6,1,
173,4,4,
174,48,16,
175,0,0,
176,0,0,
177,16,4,
178,1,1,
179,3,3,
180,13,4,
181,0,0,
182,0,0,
183,3,1,
184,1,1,
185,0,0,
186,0,0,
187,0,0,
188,4,2,
189,1,1,
190,2,4,
191,0,0,
192,0,0,
193,0,0,
194,1,0,
195,5,1,
196,1,4,
197,0,0,
198,0,1,
199,2,0,
200,1,1,
201,0,0,
202,0,0,
203,15,8,
204,0,0,
205,0,0,
206,0,0,
207,0,0,
208,1,1,
209,0,0,
210,0,0,
211,0,0,
212,0,0,
213,0,0,
214,0,0,
215,1,0,
216,0,1,
217,2,0,
218,7,4,
219,0,0,
220,1,0,
221,0,0,
222,2,3,
223,0,0,
224,4,1,
225,1,0,
226,0,0,
227,15,6,
228,0,0,
229,1,0,
230,4,3,
231,0,0,
232,0,0,
233,0,0,
234,0,0,
235,0,0,
236,2,1,
237,1,0,
238,3,3,
239,0,0,
240,0,1,
241,0,0,
242,0,0,
243,0,0,
244,12,6,
245,0,0,
246,0,0,
247,3,0,
248,4,5,
249,0,0,
250,0,0,
251,0,0,
