day,transactions in,transactions out
0,3,1,
1,3,1,
2,4,3,
3,1,2,
4,0,6,
5,0,4,
6,1,3,
7,1,0,
8,1,2,
9,2,7,
10,0,3,
11,1,7,
12,0,4,
13,1,6,
14,0,0,
15,1,0,
16,0,2,
17,1,7,
18,1,6,
19,1,3,
20,0,1,
21,1,1,
22,1,1,
23,1,6,
24,3,6,
25,0,4,
26,4,3,
27,1,4,
28,3,3,
29,2,6,
30,4,15,
31,4,3,
32,3,8,
33,0,6,
34,2,10,
35,0,1,
36,1,3,
37,3,10,
38,4,7,
39,3,7,
40,4,16,
41,3,13,
42,6,4,
43,1,2,
44,1,6,
45,2,5,
46,1,11,
47,2,13,
48,3,8,
49,7,6,
50,2,8,
51,7,12,
52,4,18,
53,3,14,
54,6,13,
55,3,6,
56,3,2,
57,4,6,
58,1,9,
59,7,9,
60,1,10,
61,3,9,
62,4,17,
63,2,2,
64,3,1,
65,3,8,
66,5,8,
67,7,19,
68,7,28,
69,6,22,
70,1,3,
71,4,5,
72,4,16,
73,6,23,
74,6,18,
75,4,30,
76,5,27,
77,3,7,
78,5,10,
79,8,29,
80,11,39,
81,5,27,
82,6,35,
83,6,31,
84,3,7,
85,9,12,
86,7,36,
87,3,36,
88,8,39,
89,7,30,
90,6,25,
91,13,18,
92,5,17,
93,11,63,
94,17,47,
95,6,48,
96,11,53,
97,5,41,
98,5,10,
99,11,22,
100,11,62,
101,19,63,
102,15,59,
103,16,61,
104,8,52,
105,15,14,
106,10,29,
107,11,59,
108,17,67,
109,10,75,
110,11,72,
111,10,64,
112,9,14,
113,12,39,
114,7,64,
115,12,86,
116,9,64,
117,13,79,
118,11,53,
119,9,19,
120,11,20,
121,4,64,
122,8,62,
123,12,55,
124,17,67,
125,7,59,
126,8,11,
127,4,19,
128,13,59,
129,7,51,
130,20,42,
131,10,48,
132,10,42,
133,6,17,
134,11,16,
135,13,52,
136,15,53,
137,9,48,
138,9,45,
139,18,34,
140,12,13,
141,9,12,
142,10,39,
143,11,44,
144,17,46,
145,15,47,
146,16,44,
147,12,16,
148,12,17,
149,7,46,
150,6,40,
151,2,44,
152,23,42,
153,15,45,
154,4,31,
155,4,32,
156,8,24,
157,13,41,
158,5,30,
159,9,40,
160,7,24,
161,4,0,
162,0,10,
163,7,20,
164,5,40,
165,2,23,
166,3,22,
167,0,10,
168,2,13,
169,0,11,
170,0,0,
171,0,15,
172,0,16,
173,1,13,
174,1,0,
175,4,0,
176,2,0,
177,0,1,
178,0,0,
179,0,1,
180,0,0,
181,1,14,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,0,1,
188,0,0,
189,0,2,
190,0,0,
191,0,0,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,0,5,
