day,transactions in,transactions out
0,5,0,
1,7,1,
2,3,0,
3,1,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,0,0,
33,0,0,
34,0,0,
35,0,0,
36,0,0,
37,0,0,
38,0,0,
39,0,0,
40,0,0,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,1,2,
48,0,0,
49,0,0,
50,0,0,
51,0,0,
52,0,0,
53,0,0,
54,0,0,
55,0,0,
56,0,0,
57,0,0,
58,0,0,
59,0,0,
60,2,1,
61,0,0,
62,0,0,
63,0,0,
64,0,0,
65,0,0,
66,0,0,
67,2,1,
68,3,0,
69,1,1,
70,1,0,
71,5,1,
72,1,0,
73,0,2,
74,2,0,
75,1,0,
76,1,1,
77,0,0,
78,3,2,
79,0,1,
80,0,0,
81,1,0,
82,0,0,
83,0,0,
84,1,0,
85,1,0,
86,3,3,
87,2,0,
88,6,2,
89,1,4,
90,0,1,
91,0,0,
92,2,0,
93,2,0,
94,0,2,
95,2,0,
96,0,0,
97,0,0,
98,0,1,
99,4,1,
100,0,0,
101,4,1,
102,4,0,
103,2,1,
104,0,0,
105,0,2,
106,1,0,
107,0,0,
108,0,0,
109,2,0,
110,2,0,
111,3,0,
112,2,0,
113,5,0,
114,2,1,
115,2,3,
116,2,1,
117,2,0,
118,1,1,
119,2,0,
120,3,0,
121,1,0,
122,2,0,
123,2,2,
124,6,0,
125,3,5,
126,3,0,
127,6,7,
128,6,2,
129,4,3,
130,5,1,
131,5,2,
132,7,2,
133,1,0,
134,3,6,
135,2,4,
136,8,8,
137,0,1,
138,0,3,
139,2,7,
140,1,0,
141,5,6,
142,4,7,
143,5,1,
144,0,1,
145,2,0,
146,1,0,
147,2,6,
148,10,2,
149,4,5,
150,6,0,
151,13,7,
152,14,1,
153,6,4,
154,11,7,
155,9,1,
156,14,7,
157,6,1,
158,9,2,
159,6,0,
160,6,0,
161,7,0,
162,6,2,
163,9,1,
164,8,1,
165,10,1,
166,7,1,
167,4,1,
168,4,6,
169,13,3,
170,9,0,
171,11,9,
172,1,0,
173,4,3,
174,0,0,
175,6,7,
176,7,0,
177,9,7,
178,2,3,
179,3,5,
180,5,0,
181,2,9,
182,1,4,
183,4,1,
184,6,7,
185,3,0,
186,8,8,
187,8,1,
188,11,9,
189,10,1,
190,7,8,
191,4,9,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,0,0,
203,0,0,
204,0,0,
205,0,0,
206,0,0,
207,0,0,
208,7,4,
209,0,1,
210,0,0,
211,2,6,
212,97,512,
213,230,1067,
214,1177,861,
215,585,223,
216,40,64,
217,58,109,
218,68,108,
219,71,119,
220,35,54,
221,1,10,
222,1,3,
223,1,7,
224,0,14,
225,0,31,
226,0,19,
227,0,9,
228,1,61,
229,1,52,
230,4,53,
231,11,44,
232,0,28,
233,0,24,
234,1,24,
235,0,29,
236,0,37,
237,0,17,
238,1,23,
239,0,21,
240,0,50,
241,0,25,
242,1,31,
243,175,193,
244,222,138,
245,229,128,
246,157,113,
247,187,125,
248,148,117,
249,152,102,
250,138,96,
251,160,102,
252,191,121,
253,191,114,
254,94,69,
255,107,78,
256,136,110,
257,272,213,
258,341,259,
259,269,205,
260,396,228,
261,310,227,
262,316,209,
263,358,229,
264,453,361,
265,394,187,
266,62,67,
267,41,58,
268,38,66,
269,37,72,
270,33,82,
271,18,21,
272,6,17,
273,3,17,
274,18,23,
275,17,28,
276,32,36,
277,39,63,
278,41,51,
279,38,66,
280,32,56,
281,33,47,
282,34,51,
283,37,49,
284,19,44,
285,29,45,
286,32,48,
287,30,56,
288,49,49,
289,29,70,
290,28,68,
291,22,67,
292,35,51,
293,35,64,
294,48,77,
295,54,55,
296,46,58,
297,35,51,
298,26,34,
299,24,47,
300,27,35,
301,8,21,
302,27,40,
303,11,32,
304,19,23,
305,19,29,
306,22,14,
307,16,17,
308,26,22,
309,22,27,
310,28,21,
311,15,16,
312,20,23,
313,18,22,
314,14,22,
315,25,25,
316,24,20,
317,5,5,
318,24,18,
319,26,32,
320,7,8,
