day,transactions in,transactions out
0,1,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,1,0,
12,3,0,
13,2,2,
14,3,1,
15,3,2,
16,2,4,
17,2,3,
18,4,3,
19,1,3,
20,0,2,
21,3,2,
22,2,3,
23,9,7,
24,1,7,
25,4,2,
26,2,3,
27,1,4,
28,4,3,
29,3,3,
30,6,8,
31,10,10,
32,7,8,
33,8,7,
34,8,10,
35,7,3,
36,5,7,
37,7,11,
38,11,11,
39,10,11,
40,5,14,
41,15,10,
42,9,11,
43,9,12,
44,7,13,
45,8,12,
46,7,5,
47,24,21,
48,11,15,
49,15,10,
50,22,22,
51,15,16,
52,16,20,
53,19,18,
54,24,27,
55,7,23,
56,16,26,
57,9,19,
58,7,9,
59,13,28,
60,6,22,
61,6,12,
62,5,17,
63,3,10,
64,8,7,
65,5,17,
66,5,9,
67,5,19,
68,7,12,
69,6,16,
70,2,23,
71,4,8,
72,1,3,
73,2,2,
74,4,11,
75,2,8,
76,0,9,
77,1,0,
78,2,15,
79,0,0,
80,0,0,
81,2,2,
82,1,8,
83,1,5,
84,2,0,
85,0,4,
86,0,6,
87,2,1,
88,0,9,
89,2,4,
90,1,12,
91,1,1,
92,1,4,
93,1,9,
94,0,4,
95,0,0,
96,0,8,
97,2,7,
98,1,0,
99,0,8,
100,0,0,
101,1,6,
102,0,0,
103,2,12,
104,0,0,
105,1,9,
106,1,0,
107,0,11,
108,1,0,
109,0,0,
110,0,4,
111,0,0,
112,1,0,
113,0,0,
114,0,0,
115,1,0,
116,0,0,
117,3,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,0,0,
126,1,1,
