day,value
0,9080008
1,41737408
2,49836242
3,54806400
4,58396122
5,63409000
6,104314668
7,107887450
8,109776412
9,111053520
10,116325301
11,117623302
12,117603302
13,119733087
14,122324087
15,108786399
16,110944399
17,113140360
18,114145360
19,123633726
20,144626726
21,146261726
22,150650626
23,151719939
24,151719939
25,150119031
26,154219033
27,154199609
28,157699609
29,157699609
30,160131083
31,161211083
32,160168086
33,150110093
34,152580093
35,154595093
36,160117893
37,160353893
38,164583228
39,169359228
40,171420003
41,172870003
42,175705003
43,184966003
44,187666003
45,187616003
46,183087003
47,183527003
48,192183005
49,192183005
50,193621003
51,197121003
52,197121003
53,200711003
54,200068003
55,200068003
56,203568003
57,213005003
58,220412003
59,250844003
60,257108003
61,250018003
62,235010000
63,243172000
64,244424244
65,253334244
66,256499244
67,268009344
68,252470600
69,258966252
70,237606252
71,301138481
72,302667686
73,305575000
74,316002000
75,300156000
76,300046000
77,300610000
78,290020000
79,293792000
80,290872000
81,286710000
82,302576000
83,306076000
84,302020000
85,296510000
86,302010000
87,306900000
88,319060000
89,310040000
90,310040000
91,310050000
92,303620000
93,309160000
94,310250000
95,311240000
96,314460000
97,307220000
98,305210000
99,308630000
100,300110000
101,303951303
102,305059937
103,292031937
104,301460000
105,307030000
106,316530000
107,325703056
108,327551000
109,327554000
110,325608000
111,325915000
112,340156000
113,341371000
114,343061000
115,347061000
116,354061000
117,304931000
118,304931000
119,311931000
120,318542670
121,325123670
122,300153670
123,313333670
124,332352670
125,344164300
126,353550000
127,378241584
128,376060000
129,379492391
130,404040000
131,380339839
132,391330000
133,391330000
134,396676000
135,405410000
136,410910000
137,417316000
138,324766000
139,320124445
140,334562445
141,350710300
142,353610300
143,350282100
144,365550000
145,357443247
146,350250547
147,354750547
148,319931347
149,323931347
150,227921347
151,227921347
152,213270547
153,228730880
154,246268880
155,198205547
156,108093547
157,108093547
158,116915748
159,131661506
160,138032000
161,143170400
162,178092000
163,172988000
164,112550000
165,12367000
166,15333000
167,21583000
168,25231000
169,5000000
170,12645000
171,22342000
172,6092000
173,12852187
174,29950000
175,25113550
176,103550
177,9603550
178,5052077
179,5100000
180,7210000
181,6310260
182,6454260
183,747260
184,0
185,990000
186,0
187,5100000
188,9100000
189,28512842
190,2550000
191,0
192,0
193,4000000
194,4000000
195,8350000
196,38690800
197,36667467
198,41667467
199,41667467
200,46105467
201,50017500
202,54017500
203,54017500
204,0
205,0
206,14650000
207,5000000
208,4010000
209,2990000
210,2990000
211,8105926
212,34032317
213,34032317
214,41072317
215,0
216,4500001
217,14735289
218,49960289
219,335288
220,1585288
221,9695288
222,9695288
223,0
224,0
225,1038297
226,1408297
227,1408297
228,0
229,0
230,2000000
231,5140000
232,7496000
233,19084000
234,19084000
235,70000
236,4070000
237,6070000
238,10320000
239,15510000
240,30950268
241,0
242,0
243,0
244,4000000
245,2000000
246,6000000
247,24755480
248,24965480
249,0
250,0
251,0
252,0
253,24659071
254,24659071
255,28619071
256,48116471
257,51106471
258,55106471
259,56596471
260,1456471
261,4046471
262,5532471
263,40498711
264,4527497
265,3933000
266,7573000
267,7743000
268,11743000
269,11743000
270,41600
271,4206652
272,4000000
273,104500000
274,3949000
275,8729000
276,26083027
277,30083027
278,5805899
279,5805899
280,9303899
281,8319899
282,14319899
283,37651179
284,41636179
285,57206179
286,64455562
287,75344562
288,103530000
289,100075975
290,101852460
291,101852460
292,100010000
293,100010000
294,100010000
295,100010000
296,120768000
297,127158000
298,127138000
299,0
300,3978000
301,3978000
302,0
303,60514710
304,61524710
305,50010000
306,77510000
307,77510000
308,79088000
309,109151638
310,100010000
311,107269000
312,108929000
313,100010000
314,110644000
315,105053000
316,89465574
317,96655574
318,98005574
319,105840574
320,80600574
321,87380574
322,126610574
323,200330000
324,200020000
325,201110000
326,210311000
327,210184500
328,215730000
329,216244000
330,200020000
331,252841800
332,257501179
333,250020000
334,250174000
335,249856000
336,257736000
337,257923000
338,306481086
339,302632139
340,305817086
341,304160000
342,323036000
343,317826000
344,318061000
345,376683829
346,361710000
347,350030000
348,350388000
349,352624800
350,356679800
