day,value
0,1320212
1,2280674
2,2092556097
3,193208095
4,1269410869
5,368990507
6,400990507
7,401200507
8,401700507
9,402765990
10,402765990
11,407765990
12,407765990
13,407865990
14,407865990
15,407865990
16,407865990
17,407865990
18,407865990
19,407865990
20,407865990
21,407965990
22,407965990
23,407965990
24,407965990
25,407965990
26,407965990
27,407965990
28,407965990
29,407965990
30,407965990
31,407965990
32,407965990
33,407965990
34,407965990
35,407965990
36,407965990
37,407965990
38,407965990
39,407965990
40,407965990
41,411465990
42,411465990
43,411465990
44,411465990
45,411465990
46,411465990
47,411465990
48,411465990
49,411465990
50,411465990
51,411465990
52,411465990
53,411465990
54,411465990
55,411465990
56,411465990
57,411465990
58,411465990
59,411465990
60,411465990
61,411465990
62,411465990
63,411465990
64,411465990
65,411465990
66,411465990
67,411465990
68,411465990
69,411465990
70,411465990
71,411465990
72,411465990
73,411465990
74,411465990
75,411465990
76,411465990
77,411465990
78,411465990
79,411465990
80,411465990
81,411465990
82,411465990
83,411465990
84,411465990
85,411465990
86,411465990
87,411465990
88,411465990
89,411465990
90,411465990
91,411465990
92,411465990
93,411465990
94,411465990
95,411465990
96,411465990
97,411465990
98,411465990
99,411465990
100,411465990
101,411465990
102,411465990
103,411485990
104,411485990
105,411485990
106,411485990
107,411485990
108,411485990
109,411485990
110,411485990
111,411485990
112,411485990
113,411485990
114,411485990
115,411485990
116,411485990
117,411485990
118,411485990
119,411485990
120,411485990
121,411485990
122,411485990
123,411485990
124,411485990
125,411485990
126,411485990
127,411485990
128,411485990
129,411485990
130,411485990
131,411485990
132,411485990
133,411485990
134,411485990
135,411485990
136,411485990
137,411485990
138,411485990
139,411485990
140,411485990
141,411485990
142,411485990
143,411485990
144,411485990
145,411485990
146,411485990
147,411485990
148,411485990
149,411485990
150,411485990
151,411485990
152,421621740
153,675990
154,675990
155,675990
156,675990
157,675990
158,675990
159,675990
160,675990
161,675990
162,675990
163,675990
164,675990
165,675990
166,675990
167,675990
168,675990
169,675990
170,675990
171,675990
172,675990
173,675990
174,675990
175,675990
176,675990
177,675990
178,675990
179,675990
180,675990
181,675990
182,675990
183,675990
184,675990
185,675990
186,675990
187,675990
188,675990
189,675990
190,675990
191,675990
192,675990
193,675990
194,675990
195,675990
196,675990
