day,value
0,4673440
1,4673440
2,4673440
3,4673440
4,4673440
5,4673440
6,4673440
7,4673440
8,4673440
9,4673440
10,4673440
11,7777870
12,34138670
13,91296046
14,99064265
15,104242902
16,166918033
17,166816640
18,184401703
19,280213699
20,274981088
21,304581560
22,159117223
23,203719910
24,154536515
25,250904196
26,251162752
27,196629396
28,298730258
29,306071574
30,303567864
31,255409838
32,282089876
33,298765752
34,314114846
35,646751270
36,765163158
37,877478660
38,922961376
39,876928325
40,877814420
41,1204084221
42,694238980
43,777673825
44,738101646
45,844028017
46,1017294543
47,965040714
48,1003855956
49,967908653
50,1652843713
51,2093754006
52,1872110363
53,2197019262
54,3322954836
55,3202020515
56,2991345311
57,3769515615
58,4068236988
59,3653917278
60,914525737
61,1522138593
62,867536765
63,834880742
64,1189208673
65,1171872089
66,1121570781
67,68927947
68,101164741
69,69963136
70,8213472
71,14037380
72,1262500
73,27455346
74,45007848
75,42077212
76,34321271
77,40221271
78,47952960
79,47952960
80,47952960
81,331804141
82,324752780
83,314868421
84,380878021
85,373339639
86,366297130
87,369369998
88,54382328
89,805066712
90,1401659038
91,3747698
92,11514385
93,322936195
94,319638656
95,319638656
96,287345787
97,299346409
98,304738265
99,295883999
100,295883999
101,82238437
102,82238437
103,418208067
104,418208067
105,411995693
106,415573693
107,391489603
108,395111743
109,395111743
110,387884237
111,387884237
112,414147487
113,414147487
114,414147487
115,561830417
116,561830417
117,576075037
118,576075037
119,576075037
120,576075037
121,576075037
122,576075037
123,576075037
124,576075037
125,576075037
126,296297
