day,value
0,15455337
1,60143648
2,122807815
3,127456065
4,54507713
5,36945324
6,34791090
7,54781090
8,56149928
9,53030299
10,51556480
11,27752108
12,26026325
13,14998794
14,14998794
15,19149034
16,18410837
17,7401094
18,11520176
19,16745057
20,16407913
21,20148705
22,24022025
23,24531996
24,80881968
25,62356885
26,198923581
27,186923684
28,278755841
29,296295282
30,484178776
31,796132834
32,522565611
33,440655450
34,250050794
35,243097661
36,230769611
37,144450611
38,39815526
39,90555471
40,53591449
41,82252981
42,466943103
43,445472547
44,328473511
45,186749448
46,76606045
47,623288
48,140602528
49,124728113
50,105089620
51,722396252
52,703485669
53,671605234
54,618824721
55,662198871
56,666584676
57,705923257
58,702356420
59,1006055289
60,878153298
61,903569032
62,798669894
63,877248217
64,956961874
65,976274223
66,1612773629
67,1616356992
68,1133848838
69,1399221949
70,1398760379
71,1510503435
72,1457949128
73,1586145550
74,1873217984
75,1946364946
76,1852337434
77,2095657825
78,2214724877
79,2314924173
80,135484895
81,336480458
82,268949293
83,143571547
84,460059531
85,567219460
86,407660306
87,274106090
88,427514181
89,594078042
90,520927647
91,924922700
92,979556065
93,1037676295
94,1810724739
95,1819248465
96,918745584
97,953993509
98,1012014093
99,2157887802
100,2134504981
101,2556179541
102,2750591346
103,2897774392
104,1574529823
105,1348297295
106,1768678623
107,1906980749
108,2214170864
109,2241579320
110,2175448504
111,2271586781
112,2409612192
113,2693917863
114,2854194820
115,3172286531
116,3059204874
117,3007035471
118,3046061444
119,3410651687
120,3911713409
121,3737334745
122,3760454700
123,3774555856
124,4351914199
125,4366646201
126,4673863777
127,4904151038
128,5065807716
129,4972730901
130,6827311194
131,6021093073
132,6332968976
133,6328279324
134,6666484124
135,6833175820
136,1595153787
137,1785746312
138,1732508870
139,3802275764
140,4376310855
141,5422872333
142,5589941862
143,6307367950
144,6400042574
145,7057014704
146,7921023257
147,8108937707
148,8600037472
149,8806130522
150,9222088233
151,9157071341
152,10691184039
153,11093038859
154,11092734554
155,3257114202
156,4020167290
157,4311865782
158,4310635910
159,4442038424
160,4603920746
161,4694836117
162,4685017082
163,4824194132
164,5213296398
165,5239553097
166,5232207705
167,5222786116
168,5268495437
169,5252495462
170,5252495462
171,5237506896
172,5220455794
173,5208511747
174,5252853747
175,5328496867
176,5425852841
177,5414292013
178,5414292013
179,5413829586
180,5413829586
181,5464084539
182,5464084539
183,5464084539
184,5464084539
185,5464084539
186,5464084539
187,5463661316
188,5463661316
189,5418649702
190,5418649702
191,5418649702
192,5418649702
193,5418649702
194,5418649702
195,5418649702
196,5418649702
197,5418649702
198,5418649702
199,5418649702
200,5418649702
201,5418649702
202,0
