day,value
0,47952400
1,27699276
2,21478101
3,26027528
4,11708923
5,118400677
6,13828100
7,5718465
8,7587000
9,6746781
10,4183001
11,990000
12,7589567
13,6987000
14,9737312
15,5939000
16,9148961
17,2188000
18,14240129
19,16432000
20,3127000
21,29564000
22,21586613
23,0
24,29414514
25,600001
26,90576
27,0
28,0
29,13481690
30,185000
31,251001
32,0
33,5145000
34,9190000
35,901800
36,121000
37,44602667
38,5616000
39,11320000
40,0
41,1365000
42,12346000
43,5160000
44,8960000
45,9181000
46,0
47,12986002
48,0
49,13386000
50,0
51,0
52,100000
53,1537003
54,0
55,0
56,2000000
57,5705000
58,0
59,10284000
60,500000
61,5000000
62,1190000
63,0
64,8180000
65,3250000
66,5800000
67,10578600
68,12747512
69,100000
70,708481
71,7669205
72,6396694
73,4469000
74,4000000
75,0
76,0
77,2000000
78,0
79,0
80,0
81,0
82,2000000
83,3626000
84,0
85,2000000
86,6000000
87,8920000
88,640000
89,0
90,1930000
91,0
92,5540000
93,0
94,0
95,30000
96,0
97,0
98,0
99,0
100,341303
101,1108634
102,7582000
103,2500000
104,8777000
105,3000000
106,640000
107,3771000
108,0
109,578000
110,1537000
111,17041000
112,8235000
113,6220000
114,0
115,0
116,0
117,3000000
118,0
119,5381000
120,14541000
121,1020000
122,9180000
123,17694000
124,18043000
125,33400000
126,23675104
127,36460863
128,8202391
129,22478000
130,18369839
131,15400000
132,0
133,6566000
134,1500000
135,2460000
136,10236000
137,1020000
138,21196671
139,2000000
140,28734300
141,3030000
142,29175800
143,10701120
144,125696367
145,6176000
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,5000000
154,0
155,0
156,0
157,1000000
158,36002594
159,1730000
160,46066400
161,37174600
162,6468000
163,15572000
164,2297000
165,0
166,0
167,6058000
168,16737000
169,8575000
170,761000
171,671000
172,3270187
173,15850000
174,5512050
175,0
176,0
177,4781690
178,2551000
179,2440000
180,868000
181,0
182,0
183,5039000
184,1000000
185,0
186,0
187,0
188,15092842
189,2550000
190,4513000
191,0
192,0
193,0
194,350000
195,5849800
196,37006667
197,0
198,0
199,2048000
200,5020000
201,0
202,0
203,2140000
204,0
205,0
206,0
207,0
208,3442000
209,0
210,0
211,0
212,0
213,0
214,0
215,500001
216,0
217,45235000
218,34390088
219,0
220,5000000
221,0
222,2831000
223,0
224,2386629
225,370000
226,0
227,20831661
228,0
229,2000000
230,160000
231,0
232,0
233,0
234,0
235,0
236,2210000
237,4250000
238,1970000
239,0
240,0
241,0
242,0
243,0
244,6804120
245,0
246,0
247,21700000
248,3538691
249,0
250,0
251,0
252,10324000
253,570000
254,0
