day,value
0,15661450
1,46961682
2,68827884
3,5147750
4,0
5,0
6,19070300
7,19990000
8,4000000
9,90566475
10,0
11,11695920
12,0
13,25570000
14,0
15,4150240
16,0
17,4192000
18,73710000
19,6251700
20,0
21,4132400
22,4197000
23,5270000
24,63236000
25,0
26,142461100
27,4241780
28,117117683
29,25159500
30,258404300
31,384714898
32,519972540
33,0
34,11631157
35,0
36,5980000
37,20350500
38,13676463
39,167130552
40,91934362
41,120468913
42,384760122
43,5388739
44,77363350
45,5143101
46,1
47,79600934
48,252304925
49,39457075
50,41801625
51,764790800
52,90946175
53,35041201
54,63535198
55,56541438
56,11932746
57,49966180
58,12534423
59,333218530
60,5310000
61,38919760
62,442966271
63,94523030
64,80866603
65,39142530
66,667531105
67,96023874
68,304126898
69,396986318
70,4290295
71,124702035
72,81802770
73,182567263
74,524893579
75,272716723
76,93079987
77,289568740
78,168993939
79,199648275
80,360268049
81,577265425
82,129769311
83,109616456
84,366362550
85,146767767
86,55751311
87,11984320
88,302295453
89,293052770
90,81439345
91,508387179
92,126440280
93,267827763
94,946945538
95,204957445
96,188997765
97,187370150
98,126009764
99,1359827394
100,283495936
101,679128564
102,442096091
103,406719200
104,256697048
105,899716278
106,570244014
107,420773721
108,578535922
109,302891710
110,233182357
111,320652200
112,163809997
113,407487152
114,392306265
115,687006812
116,180551845
117,282520566
118,256510725
119,426537200
120,581482484
121,89424811
122,277941951
123,258396115
124,837527878
125,250209621
126,351560525
127,330275580
128,370755311
129,116615350
130,2262788191
131,226512923
132,632443231
133,230778122
134,404857331
135,414651300
136,594850641
137,392087114
138,136602807
139,2263887274
140,762172827
141,1085415425
142,483536574
143,991056532
144,391160080
145,851059362
146,1051680061
147,270187882
148,566850205
149,394005607
150,542966659
151,122463800
152,1801390390
153,647277205
154,125356000
155,797516124
156,833917942
157,417569720
158,57717591
159,216148020
160,194558280
161,90915371
162,0
163,162946734
164,444962606
165,62255235
166,23580340
167,0
168,56896750
169,0
170,0
171,0
172,0
173,660793
174,44342000
175,75643120
176,97355974
177,0
178,0
179,0
180,0
181,59500000
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
