day,value
0,4985000
1,6975000
2,2985000
3,995000
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,3000000
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,10074452
61,0
62,0
63,0
64,0
65,0
66,0
67,44915000
68,36815000
69,16915000
70,98507000
71,682403000
72,19900000
73,0
74,416892000
75,12935000
76,21890000
77,0
78,6920000
79,0
80,0
81,8955000
82,0
83,0
84,11343000
85,818490000
86,609937000
87,15920000
88,815111000
89,4975000
90,0
91,0
92,10248000
93,15223000
94,0
95,39700000
96,0
97,0
98,0
99,46689107
100,0
101,51535185
102,17244289
103,3980000
104,0
105,0
106,497490000
107,0
108,0
109,27860000
110,9940000
111,37014000
112,10042401
113,33836693
114,32238000
115,13631000
116,29850000
117,42955000
118,126200000
119,308000
120,14941275
121,9950000
122,12039000
123,620163
124,1438344
125,40803000
126,13790000
127,961563120
128,123795784
129,39750000
130,184431000
131,96605000
132,258744000
133,9950000
134,70646000
135,6693982
136,841891058
137,0
138,0
139,10945000
140,199000
141,123628000
142,15786908
143,431755000
144,0
145,10348000
146,9950000
147,19999000
148,550973053
149,136316000
150,101064554
151,219717274
152,1216310015
153,133568738
154,825457990
155,405759032
156,224142646
157,71372375
158,986763000
159,163496189
160,379942607
161,167478803
162,44883000
163,110922000
164,547421042
165,207848000
166,220784000
167,40785000
168,185792000
169,250332930
170,330404000
171,942978572
172,49741000
173,609780000
174,0
175,569266000
176,952617950
177,389024941
178,109352000
179,2188990000
180,216999000
181,139292000
182,9950000
183,58060610
184,1143235000
185,59699352
186,95192117
187,137301787
188,326919075
189,229016554
190,39844600
191,50861000
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1897144521
209,0
210,0
211,126657552
212,5202210461
213,16390877510
214,13468855012
215,4344983608
216,2253507667
217,3854588965
218,3897784240
219,3918068379
220,1803755015
221,2000000000
222,20000
223,1500000000
224,0
225,0
226,0
227,0
228,100000
229,316000000
230,40270526
231,173407938
232,0
233,0
234,500000000
235,0
236,0
237,0
238,1179208996
239,0
240,0
241,0
242,500000000
243,16361595261
244,15558803933
245,22510103308
246,25165703551
247,28188979034
248,29719441649
249,32183536021
250,25172966764
251,29196640537
252,34653659554
253,46941510996
254,31112029543
255,28425146467
256,27431786483
257,33117285657
258,42304865539
259,24519140179
260,21660336065
261,29332214432
262,27358676606
263,27622493916
264,30857245910
265,14333600455
266,5814900000
267,4998439420
268,4852100000
269,5407716841
270,6589027000
271,4486357366
272,439548394
273,1065000000
274,1458508858
275,530450592
276,1301316556
277,2624379821
278,2269732296
279,2482771117
280,2213918514
281,2180121060
282,2011775860
283,4675770886
284,1302138511
285,1989440000
286,2027095623
287,4451150449
288,4306405324
289,4016342096
290,3618981315
291,2637415178
292,1967151695
293,2721940306
294,6339580592
295,4928472222
296,5736115719
297,4425708843
298,2555814161
299,1545938598
300,1425432785
301,549400000
302,1542295818
303,525000000
304,1080000001
305,990700000
306,1193500000
307,945000000
308,2973996525
309,1429600000
310,2880800000
311,835420000
312,1779400000
313,2167547852
314,1095200000
315,1447390000
316,2378650000
317,371900000
318,1996700000
319,1795200000
320,1767900000
321,0
322,13250000
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,20000
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,20000
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,20000
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,20000
486,0
487,0
488,0
489,0
490,0
491,0
492,20000
