day,value
0,202425
1,0
2,0
3,20488623
4,0
5,0
6,0
7,970887
8,20010000
9,122052093
10,0
11,0
12,0
13,5484430
14,35118659
15,4316890
16,20900000
17,21059451
18,651926
19,2568540
20,2109170
21,842104
22,27321830
23,23708588
24,415887
25,1637969
26,27590480
27,71505044
28,26326001
29,72047300
30,0
31,9563714
32,41624495
33,2486929
34,72208766
35,145595407
36,259238
37,48525447
38,40535616
39,84359977
40,40082345
41,94493001
42,144171672
43,254442088
44,11028659
45,5308182
46,140143163
47,160107176
48,51998859
49,1423181
50,0
51,1435636
52,77384247
53,68523934
54,9278926
55,16936249
56,50982823
57,13525109
58,36794379
59,12220398
60,40535045
61,127545504
62,35745552
63,131365984
64,44531721
65,102600121
66,583447400
67,221479268
68,194139477
69,3783357
70,338203000
71,80628361
72,11807815
73,85953392
74,50243654
75,36050319
76,75957285
77,206623954
78,62502653
79,41786746
80,39004869
81,15716178
82,121172546
83,104737083
84,58830448
85,159690613
86,10150038
87,56650899
88,34803197
89,22162797
90,103209486
91,78450631
92,140740020
93,102316000
94,5728469
95,20123184
96,84835832
97,16874117
98,44445776
99,95066009
100,33443084
101,7797819
102,24526324
103,646424630
104,115146755
105,54429529
106,21805227
107,15051467
108,0
109,289318
110,53578179
111,67030013
112,2766698
113,2948820
114,0
115,0
116,6205136
117,0
118,30789100
119,0
120,0
121,0
122,306852
123,0
124,0
125,30221500
126,0
127,12374720
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,51000
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,10000
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,10000
423,10000
