day,value
0,4673440
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,3104430
12,26360800
13,61237600
14,8910211
15,11768781
16,69625143
17,5532320
18,18024900
19,100950000
20,0
21,30230490
22,5211030
23,64197488
24,5088000
25,99864916
26,44415560
27,12969000
28,104248536
29,70897850
30,100860429
31,72295368
32,45616521
33,34661191
34,56459668
35,345805797
36,137758100
37,150766720
38,209931991
39,105947256
40,121179898
41,460450479
42,219425037
43,168879875
44,64686232
45,257785850
46,181438935
47,799433675
48,608311138
49,142470747
50,1289351677
51,581482846
52,144287783
53,1681540516
54,1402120500
55,937938307
56,712972380
57,1045333625
58,527357587
59,193611349
60,80204579
61,696106240
62,31487154
63,38282920
64,404938389
65,89823113
66,31848573
67,22581412
68,61073268
69,44046615
70,7991000
71,45651150
72,2666310
73,31602509
74,52003960
75,12485640
76,0
77,5900000
78,16877500
79,0
80,0
81,285290000
82,2963140
83,3030000
84,66009600
85,0
86,0
87,4155600
88,0
89,752742310
90,608918500
91,3098660
92,9300000
93,331124500
94,0
95,0
96,0
97,19763413
98,5391856
99,0
100,0
101,5533352
102,0
103,350895717
104,0
105,3450180
106,3578000
107,0
108,3622140
109,0
110,0
111,0
112,26263250
113,0
114,0
115,147682930
116,0
117,14244620
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,4251260
