day,transactions
0,73
1,74
2,61
3,84
4,34
5,65
6,45
7,26
8,23
9,12
10,15
11,1
12,31
13,17
14,30
15,27
16,27
17,10
18,31
19,22
20,8
21,111
22,119
23,0
24,136
25,2
26,1
27,0
28,0
29,81
30,1
31,6
32,0
33,9
34,42
35,11
36,3
37,216
38,33
39,7
40,0
41,6
42,11
43,12
44,5
45,3
46,0
47,23
48,0
49,30
50,0
51,0
52,1
53,7
54,0
55,0
56,1
57,16
58,0
59,25
60,1
61,1
62,1
63,0
64,12
65,6
66,4
67,36
68,33
69,1
70,2
71,2
72,15
73,13
74,2
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,21
84,0
85,1
86,2
87,2
88,2
89,0
90,4
91,0
92,2
93,0
94,0
95,3
96,0
97,0
98,0
99,0
100,2
101,2
102,1
103,1
104,2
105,1
106,1
107,6
108,0
109,1
110,13
111,40
112,2
113,6
114,0
115,0
116,0
117,1
118,0
119,14
120,37
121,10
122,3
123,6
124,2
125,37
126,41
127,68
128,5
129,32
130,16
131,13
132,0
133,10
134,1
135,4
136,18
137,3
138,41
139,2
140,27
141,5
142,3
143,30
144,21
145,21
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,18
159,12
160,37
161,26
162,8
163,20
164,6
165,0
166,0
167,17
168,8
169,11
170,1
171,1
172,6
173,4
174,48
175,0
176,0
177,16
178,1
179,3
180,13
181,0
182,0
183,3
184,1
185,0
186,0
187,0
188,4
189,1
190,2
191,0
192,0
193,0
194,1
195,5
196,1
197,0
198,0
199,2
200,1
201,0
202,0
203,15
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,2
218,7
219,0
220,1
221,0
222,2
223,0
224,4
225,1
226,0
227,15
228,0
229,1
230,4
231,0
232,0
233,0
234,0
235,0
236,2
237,1
238,3
239,0
240,0
241,0
242,0
243,0
244,12
245,0
246,0
247,3
248,4
249,0
250,0
251,0
252,10
253,3
254,0
255,7
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,2
267,0
268,0
269,11
270,0
271,0
272,2
273,4
274,10
275,3
276,0
277,0
278,1
279,8
280,9
281,1
282,1
283,1
284,7
285,2
286,3
287,10
288,3
289,8
290,0
291,0
292,0
293,0
294,0
295,0
296,2
297,1
298,1
299,2
300,0
301,7
302,2
303,0
304,0
305,1
306,0
307,7
308,1
309,3
310,0
311,0
312,0
313,3
314,1
315,0
316,0
317,3
318,20
319,0
320,1
321,3
322,10
323,0
324,3
325,39
326,14
327,30
328,3
329,0
330,20
331,7
332,1
333,1
334,0
335,0
336,2
337,1
338,3
339,2
340,9
341,1
342,1
343,1
344,7
345,2
346,0
347,2
348,22
349,9
350,4
351,1
352,8
353,5
354,0
355,2
356,0
357,15
358,9
359,4
360,0
361,0
362,8
363,2
364,2
365,7
366,1
367,0
368,8
369,10
370,12
371,1
372,1
373,0
374,2
375,1
376,8
377,3
378,2
379,1
380,6
381,26
382,5
383,0
384,0
385,13
386,31
387,37
388,15
389,31
390,0
391,3
392,2
393,3
394,1
395,88
396,11
397,1
398,1
399,0
400,7
401,1
402,19
403,4
404,19
405,0
406,1
407,0
408,4
409,27
410,1
411,0
412,1
413,1
414,4
415,1
416,0
417,22
418,0
419,0
420,0
421,9
422,5
423,0
424,1
425,2
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,2
434,0
435,0
436,0
437,8
438,2
439,2
440,6
441,0
442,4
443,14
444,9
445,0
446,2
447,1
448,17
449,6
450,5
451,2
452,0
453,0
454,0
455,1
456,17
457,1
458,20
459,0
460,0
461,0
462,3
463,0
464,1
465,66
466,25
467,1
468,0
469,20
470,8
471,0
472,20
473,7
474,3
475,3
476,0
477,4
478,18
479,15
480,35
481,43
482,1
483,0
484,38
485,30
486,33
487,6
488,0
489,23
490,6
491,14
492,1
493,0
494,3
495,7
496,0
497,24
498,1
499,46
500,71
501,2
502,2
503,0
504,6
505,38
506,24
507,61
508,5
509,13
510,0
511,2
512,0
513,0
514,0
515,12
516,30
517,55
518,37
519,82
520,78
521,150
522,62
523,56
524,0
525,2
526,92
527,49
528,53
529,25
530,0
531,0
532,1
533,21
534,1
535,3
536,0
537,6
538,1
539,1
540,22
541,9
542,17
543,3
544,1
545,0
546,1
547,1
548,3
549,30
550,1
551,1
552,1
553,0
554,0
555,3
556,23
557,1
558,0
559,1
560,1
561,5
562,0
563,0
564,28
565,2
566,1
567,13
568,9
569,0
570,1
571,5
572,2
573,0
574,1
575,18
576,2
577,0
578,1
579,0
580,1
581,4
582,10
583,0
584,0
585,0
586,0
587,0
588,4
589,7
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,1
603,2
604,11
605,0
606,0
607,0
608,1
609,0
610,0
611,2
612,0
613,0
614,0
615,0
616,3
617,13
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,1
626,2
627,2
628,0
629,1
630,2
631,1
632,0
633,0
634,0
635,0
636,0
637,2
638,1
639,5
640,0
641,0
642,0
643,0
644,1
645,9
646,0
647,2
648,0
649,0
650,0
651,1
652,8
653,0
654,0
655,0
656,0
657,4
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,26
673,17
674,0
675,0
676,0
677,0
678,7
679,21
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,3
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,4
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,6
809,2
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,4
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,9
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,5
900,0
901,0
902,0
903,3
904,3
