day,transactions
0,3
1,3
2,4
3,1
4,0
5,0
6,1
7,1
8,1
9,2
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,3
25,0
26,4
27,1
28,3
29,2
30,4
31,4
32,3
33,0
34,2
35,0
36,1
37,3
38,4
39,3
40,4
41,3
42,6
43,1
44,1
45,2
46,1
47,2
48,3
49,7
50,2
51,7
52,4
53,3
54,6
55,3
56,3
57,4
58,1
59,7
60,1
61,3
62,4
63,2
64,3
65,3
66,5
67,7
68,7
69,6
70,1
71,4
72,4
73,6
74,6
75,4
76,5
77,3
78,5
79,8
80,11
81,5
82,6
83,6
84,3
85,9
86,7
87,3
88,8
89,7
90,6
91,13
92,5
93,11
94,17
95,6
96,11
97,5
98,5
99,11
100,11
101,19
102,15
103,16
104,8
105,15
106,10
107,11
108,17
109,10
110,11
111,10
112,9
113,12
114,7
115,12
116,9
117,13
118,11
119,9
120,11
121,4
122,8
123,12
124,17
125,7
126,8
127,4
128,13
129,7
130,20
131,10
132,10
133,6
134,11
135,13
136,15
137,9
138,9
139,18
140,12
141,9
142,10
143,11
144,17
145,15
146,16
147,12
148,12
149,7
150,6
151,2
152,23
153,15
154,4
155,4
156,8
157,13
158,5
159,9
160,7
161,4
162,0
163,7
164,5
165,2
166,3
167,0
168,2
169,0
170,0
171,0
172,0
173,1
174,1
175,4
176,2
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
