day,transactions
0,5
1,7
2,3
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,2
61,0
62,0
63,0
64,0
65,0
66,0
67,2
68,3
69,1
70,1
71,5
72,1
73,0
74,2
75,1
76,1
77,0
78,3
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,3
87,2
88,6
89,1
90,0
91,0
92,2
93,2
94,0
95,2
96,0
97,0
98,0
99,4
100,0
101,4
102,4
103,2
104,0
105,0
106,1
107,0
108,0
109,2
110,2
111,3
112,2
113,5
114,2
115,2
116,2
117,2
118,1
119,2
120,3
121,1
122,2
123,2
124,6
125,3
126,3
127,6
128,6
129,4
130,5
131,5
132,7
133,1
134,3
135,2
136,8
137,0
138,0
139,2
140,1
141,5
142,4
143,5
144,0
145,2
146,1
147,2
148,10
149,4
150,6
151,13
152,14
153,6
154,11
155,9
156,14
157,6
158,9
159,6
160,6
161,7
162,6
163,9
164,8
165,10
166,7
167,4
168,4
169,13
170,9
171,11
172,1
173,4
174,0
175,6
176,7
177,9
178,2
179,3
180,5
181,2
182,1
183,4
184,6
185,3
186,8
187,8
188,11
189,10
190,7
191,4
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,7
209,0
210,0
211,2
212,97
213,230
214,1177
215,585
216,40
217,58
218,68
219,71
220,35
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,4
231,11
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,175
244,222
245,229
246,157
247,187
248,148
249,152
250,138
251,160
252,191
253,191
254,94
255,107
256,136
257,272
258,341
259,269
260,396
261,310
262,316
263,358
264,453
265,394
266,62
267,41
268,38
269,37
270,33
271,18
272,6
273,3
274,18
275,17
276,32
277,39
278,41
279,38
280,32
281,33
282,34
283,37
284,19
285,29
286,32
287,30
288,49
289,29
290,28
291,22
292,35
293,35
294,48
295,54
296,46
297,35
298,26
299,24
300,27
301,8
302,27
303,11
304,19
305,19
306,22
307,16
308,26
309,22
310,28
311,15
312,20
313,18
314,14
315,25
316,24
317,5
318,24
319,26
320,7
321,0
322,2
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,1
