day,transactions
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,3
13,2
14,3
15,3
16,2
17,2
18,4
19,1
20,0
21,3
22,2
23,9
24,1
25,4
26,2
27,1
28,4
29,3
30,6
31,10
32,7
33,8
34,8
35,7
36,5
37,7
38,11
39,10
40,5
41,15
42,9
43,9
44,7
45,8
46,7
47,24
48,11
49,15
50,22
51,15
52,16
53,19
54,24
55,7
56,16
57,9
58,7
59,13
60,6
61,6
62,5
63,3
64,8
65,5
66,5
67,5
68,7
69,6
70,2
71,4
72,1
73,2
74,4
75,2
76,0
77,1
78,2
79,0
80,0
81,2
82,1
83,1
84,2
85,0
86,0
87,2
88,0
89,2
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,2
98,1
99,0
100,0
101,1
102,0
103,2
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,3
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
