day,value
0,310000
1,210000
2,85081
3,0
4,0
5,8613000
6,0
7,4106631
8,14188040
9,2685230
10,1715577
11,29300935
12,241198696
13,8917779
14,5241436
15,12582687
16,0
17,73016033
18,50567780
19,149103223
20,12712638
21,45959196
22,280710604
23,239656199
24,46444937
25,761805081
26,25422697
27,157143665
28,71252998
29,1284230
30,35057
31,8229973
32,36182007
33,12960955
34,6727423
35,56171979
36,62342683
37,104852227
38,194728542
39,22741789
40,82643621
41,83025999
42,67648038
43,75965964
44,339941816
45,497877205
46,81318998
47,39261696
48,105051594
49,22927481
50,86748259
51,32379769
52,602679990
53,108707525
54,172460407
55,744343631
56,2373255417
57,299218904
58,121594700
59,73303824
60,281009948
61,86828164
62,524025048
63,119665758
64,322745538
65,2535936263
66,44022892
67,350776263
68,1142429454
69,2112517665
70,436787360
71,141659937
72,457169570
73,906361879
74,733943222
75,153567362
76,6847007659
77,9346639084
78,315663950
79,485343235
80,2063656199
81,1535053821
82,554941303
83,5991764661
84,2171422874
85,453979691
86,1681925034
87,1048952663
88,2253272143
89,706408171
90,2160598446
91,518509771
92,1000243059
93,894294599
94,644734751
95,525195214
96,1741660751
97,1747222827
98,337429791
99,2565763604
100,456253236
101,931383215
102,1190788921
103,292821476
104,182570297
105,1195529551
106,648019200
107,10678946
108,1559526267
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
