day,value
0,45393000
1,29694974
2,21769763
3,23903446
4,12184045
5,119554277
6,13403050
7,4522023
8,8111892
9,7884000
10,2300000
11,1010000
12,9383782
13,4196480
14,11850000
15,5830000
16,8960000
17,3251000
18,14095763
19,4200000
20,2990000
21,39789100
22,24393300
23,0
24,29515422
25,0
26,110000
27,0
28,0
29,14115216
30,0
31,450000
32,22083
33,3435000
34,9900000
35,1878910
36,110000
37,42683333
38,5740000
39,9359224
40,1110000
41,2030000
42,9145000
43,2740000
44,10120000
45,15650000
46,0
47,5830000
48,0
49,20488002
50,0
51,0
52,0
53,1650000
54,0
55,0
56,48003
57,4690000
58,1510000
59,7520000
60,4769000
61,0
62,1010000
63,0
64,2620000
65,3900000
66,110000
67,26062000
68,12117860
69,0
70,626252
71,6140000
72,6889380
73,6300000
74,4298000
75,0
76,16000
77,2000000
78,0
79,0
80,0
81,0
82,0
83,5626000
84,0
85,0
86,1110000
87,770000
88,12640000
89,0
90,1920000
91,3050000
92,530000
93,0
94,3010000
95,310000
96,1120000
97,540000
98,0
99,0
100,0
101,0
102,3080000
103,7081937
104,3207000
105,0
106,510000
107,3900000
108,0
109,10001000
110,1230000
111,5675000
112,6020000
113,5660000
114,0
115,14525000
116,0
117,0
118,0
119,5990000
120,13820000
121,4550000
122,550000
123,22594330
124,4822670
125,43433000
126,23973520
127,42142447
128,4770000
129,25440391
130,19530000
131,14429839
132,0
133,3720000
134,276000
135,2020000
136,10770000
137,1060000
138,26348226
139,0
140,24158445
141,7130000
142,31494000
143,5443220
144,124170700
145,13190000
146,0
147,0
148,0
149,0
150,0
151,0
152,11667
153,0
154,5000000
155,0
156,0
157,0
158,5351088
159,33381506
160,34141000
161,36568000
162,16042000
163,6030000
164,3464000
165,0
166,0
167,9410000
168,19718000
169,7180000
170,6395000
171,1340000
172,1010000
173,13262187
174,10348500
175,0
176,0
177,4359000
178,1977240
179,1410000
180,2998000
181,0
182,0
183,5039000
184,1000000
185,0
186,0
187,0
188,1590000
189,13502842
190,7063000
191,0
192,0
193,0
194,0
195,1009000
196,40540000
197,0
198,1610000
199,0
200,2095467
201,0
202,0
203,7160000
204,0
205,0
206,0
207,0
208,3442000
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,110000
217,0
218,80015089
219,0
220,0
221,0
222,7831000
223,0
224,1348332
225,0
226,0
227,22239958
228,0
229,0
230,2160000
231,0
232,0
233,0
234,0
235,0
236,210000
237,0
238,780000
239,0
240,7440000
241,0
242,0
243,0
244,4804120
245,0
246,0
247,0
248,27238691
249,0
250,0
251,0
252,4070000
253,610000
254,0
255,38870000
256,1010000
257,0
258,510000
259,26191400
260,0
261,0
262,0
263,0
264,0
265,0
266,2120000
267,0
268,0
269,5948000
270,0
271,41600
272,100500000
273,310000
274,2820000
275,-835000
276,7533535
277,0
278,1010000
279,4030000
280,3950000
281,0
282,0
283,260000
284,26405903
285,7510000
286,1630000
287,21871562
288,2193250
289,2905975
290,0
291,1842460
292,0
293,0
294,0
295,0
296,210000
297,3110000
298,1844000
299,1620000
300,0
301,10628000
302,0
303,3500000
304,0
305,0
306,0
307,1690000
308,1440000
309,5865000
310,0
311,0
312,0
313,5000000
314,6140000
315,0
316,0
317,0
318,12320000
319,0
320,13220000
321,0
322,60317000
323,0
324,1090000
325,23249746
326,1010000
327,18559500
328,17224000
329,0
330,5794000
331,2140000
332,7718179
333,0
334,0
335,0
336,0
337,5840000
338,1308947
339,0
340,15593000
341,0
342,7310000
343,0
344,31854556
345,0
346,10200000
347,358000
348,20004000
349,5111000
350,8029614
351,60648
352,2118352
353,2184000
354,0
355,8490000
356,13700000
357,11757260
358,5258810
359,829000
360,0
361,0
362,1159000
363,1010000
364,12002000
365,2755120
366,0
367,0
368,-814000
369,2760000
370,16208000
371,0
372,0
373,1057000
374,0
375,33200
376,1390000
377,0
378,10329000
379,24669000
380,3500000
381,11432430
382,9079543
383,0
384,0
385,10197000
386,55256980
387,18829200
388,19860000
389,16823138
390,0
391,0
392,586640
393,92000
394,0
395,50080000
396,4196399
397,0
398,0
399,0
400,1906682
401,0
402,12901120
403,0
404,18731683
405,0
406,0
407,5076257
408,0
409,18294960
410,0
411,0
412,0
413,0
414,5794000
415,0
416,0
417,15480640
418,269072
419,0
420,0
421,5370000
422,10060000
423,987000
424,0
425,168000
426,0
427,0
428,0
429,3749100
430,5000000
431,0
432,0
433,220000
434,2330000
435,0
436,0
437,0
438,0
439,1730000
440,220000
441,0
442,520000
443,19303000
444,4570000
445,29024000
446,0
447,565000
448,19153906
449,2527882
450,2962000
451,0
452,0
453,0
454,0
455,90651695
456,6644572
457,0
458,21115248
459,0
460,0
461,-2274000
462,0
463,2620000
464,475000
465,21848279
466,8928536
467,0
468,0
469,13805422
470,6380000
471,0
472,18560888
473,970091
474,0
475,0
476,3725536
477,5267538
478,52473700
479,3313220
480,28560000
481,20800000
482,0
483,19080000
484,33056989
485,10698600
486,21466290
487,1653800
488,0
489,18169613
490,30245723
491,5018248
492,1140000
493,0
494,0
495,22918804
496,0
497,18172800
498,1010000
499,13160000
500,10653050
501,1127575
502,0
503,0
504,3112000
505,8198262
506,5940074
507,30399793
508,10557653
509,2503900
510,0
511,5858167
512,0
513,0
514,0
515,4350000
516,6587864
517,10320000
518,27947300
519,18542798
520,30914314
521,34961596
522,14063240
523,11148563
524,0
525,553082
526,23656775
527,12300000
528,24297007
529,3740000
530,1653000
531,0
532,0
533,4048000
534,2375859
535,0
536,0
537,3709000
538,1409800
539,0
540,9940000
541,4104178
542,10397596
543,6937356
544,930400
545,0
546,1480000
547,1020000
548,1090000
549,16218223
550,0
551,11511179
552,0
553,0
554,0
555,1320000
556,10657060
557,0
558,0
559,0
560,1020000
561,10020000
562,0
563,0
564,23732605
565,2020000
566,15980888
567,10140000
568,520000
569,0
570,1320000
571,32521802
572,25060000
573,49980000
574,520000
575,10560000
576,24145000
577,1202910
578,0
579,5020000
580,0
581,6059297
582,3303627
583,0
584,0
585,0
586,0
587,0
588,29296074
589,29349598
590,5387598
591,0
592,0
593,0
594,0
595,0
596,2221670
597,0
598,0
599,768330
600,0
601,0
602,0
603,220000
604,4814000
605,294800
606,0
607,0
608,0
609,2500000
610,0
611,1020000
612,6550000
613,0
614,0
615,0
616,15060275
617,3400000
618,0
619,0
620,305763
621,0
622,0
623,-9091232
624,0
625,4734286
626,1020000
627,5020000
628,540000
629,0
630,194440000
631,522946
632,241473
633,0
634,0
635,0
636,0
637,0
638,0
639,1790000
640,9070000
641,0
642,0
643,0
644,0
645,6625058
646,0
647,2307281
648,0
649,0
650,0
651,522000
652,9797641
653,0
654,0
655,0
656,0
657,1296500
658,84000
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,7650000
673,5594243
674,0
675,0
676,0
677,0
678,3062000
679,4194153
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,731000
691,0
692,0
693,0
694,0
695,132200
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1200000
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,1317014
722,1261074
723,228215
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,12500000
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,6470040
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1859094
809,443520
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,2097040
828,0
829,1940000
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,106920000
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,3081550
900,0
901,0
902,0
903,1720000
904,1300000
