day,value
0,206113
1,2273371
2,6163717
3,499500
4,72948352
5,17562389
6,21224534
7,0
8,2631162
9,93686104
10,1473819
11,35500292
12,1725783
13,36597531
14,0
15,0
16,738197
17,15201743
18,69590918
19,1026819
20,337144
21,391608
22,323680
23,4760029
24,6886028
25,18525083
26,5894404
27,16241677
28,25285526
29,7620059
30,390736282
31,20246216
32,659469335
33,44977553
34,133226545
35,6953133
36,16495673
37,90992903
38,147927500
39,76575081
40,128898384
41,91807381
42,310040000
43,8616214
44,111940800
45,91003892
46,23285134
47,88999900
48,112325685
49,55331490
50,61440118
51,147484168
52,109856758
53,66921636
54,116315711
55,13167288
56,7546941
57,10627599
58,16101260
59,29519661
60,133211991
61,13504026
62,947865409
63,15944707
64,760737
65,16377701
66,-68494697
67,-11784212
68,594230860
69,131613207
70,4751865
71,12958979
72,134357077
73,54370841
74,237821145
75,199569761
76,187107499
77,46248349
78,49926887
79,99448979
80,2539707327
81,376269862
82,197300476
83,234994202
84,49874566
85,39607838
86,215310465
87,145538536
88,148887362
89,126488909
90,154589740
91,104392126
92,71806915
93,209707533
94,173897094
95,196433719
96,1089500646
97,152122225
98,67989180
99,213953685
100,306878757
101,257454004
102,247684286
103,259536154
104,1579941617
105,1125948806
106,149862686
107,282471595
108,271345807
109,275483254
110,299313173
111,224513923
112,25784586
113,123181481
114,232029308
115,368915101
116,293633502
117,334689969
118,217484752
119,61946957
120,80420762
121,263803475
122,254821996
123,244294959
124,260169535
125,235477619
126,44342949
127,99988319
128,209098633
129,209692165
130,408207898
131,1032731044
132,320567328
133,235467774
134,66652531
135,247959604
136,5832872674
137,201494589
138,189840249
139,194120380
140,188137736
141,38853947
142,316467045
143,273630444
144,298485456
145,194087232
146,187671508
147,82273432
148,75750440
149,187912557
150,127008948
151,187480692
152,267277692
153,245422385
154,125660305
155,8633136476
156,70864854
157,125871228
158,58947463
159,84745506
160,32675958
161,0
162,9819035
163,23769684
164,55860340
165,35998536
166,30925732
167,9421589
168,11187429
169,15999975
170,0
171,14988566
172,17051102
173,12604840
174,0
175,0
176,0
177,11560828
178,0
179,462427
180,0
181,9245047
182,0
183,0
184,0
185,0
186,0
187,423223
188,0
189,45011614
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,5418649702
