day,value
0,0
1,7020000
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,11030000
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1010000
61,0
62,0
63,0
64,0
65,0
66,0
67,1010000
68,0
69,17110000
70,0
71,100020000
72,0
73,71820000
74,0
75,0
76,1010000
77,0
78,21420000
79,18310000
80,0
81,0
82,0
83,0
84,0
85,0
86,820540000
87,0
88,1002020000
89,18240000
90,10650000
91,0
92,0
93,0
94,14520000
95,0
96,0
97,0
98,11010000
99,110000
100,0
101,14010000
102,0
103,1010000
104,0
105,26561000
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,11100
115,129705400
116,1010000
117,0
118,8010000
119,0
120,0
121,0
122,0
123,60020000
124,0
125,10538000
126,0
127,119336000
128,100040000
129,27412000
130,39310000
131,90020000
132,6920000
133,0
134,89639170
135,46400
136,942315040
137,12000
138,2790600
139,463061000
140,0
141,504840100
142,148200550
143,14000
144,9010000
145,0
146,0
147,54220592
148,16020000
149,136656666
150,0
151,188680800
152,10010000
153,160782050
154,1154870000
155,10010000
156,790792600
157,103290000
158,1300030000
159,0
160,0
161,0
162,5320000
163,18229459
164,791200
165,1010000
166,1010000
167,150010000
168,278867957
169,54626000
170,0
171,601363606
172,0
173,410631200
174,0
175,1152274600
176,0
177,276372000
178,2660000
179,162895486
180,0
181,605188830
182,34633850
183,5010000
184,542737936
185,0
186,424745000
187,10722000
188,880472953
189,5010000
190,1704396430
191,7692696994
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1197064519
209,121378
210,0
211,126757552
212,5833832293
213,16346005140
214,12680727501
215,3942852268
216,2392600652
217,3803009831
218,3839013482
219,3749106936
220,1787743488
221,1967320000
222,21237500
223,176142500
224,170213000
225,74942350
226,13391000
227,13625000
228,161228000
229,139474589
230,253103000
231,26721000
232,1006978690
233,119967000
234,112472000
235,16519000
236,158304360
237,7696790
238,41015500
239,827327459
240,22102000
241,114364400
242,772812000
243,15013347822
244,16799858500
245,20323760000
246,24947330400
247,28216481316
248,27849522461
249,30922336004
250,26214003933
251,28548708656
252,36278961334
253,42791825000
254,30983087959
255,28667885135
256,25387639037
257,33439647000
258,44856735221
259,25981327000
260,23251510875
261,26358061000
262,26880602300
263,27806777247
264,35422665000
265,11489028439
266,6422969304
267,4875226050
268,4922127000
269,6633374733
270,8837787018
271,2756472687
272,2708693700
273,318637517
274,1047273292
275,425713282
276,1036349000
277,2659099000
278,2134516440
279,2788107183
280,2396339715
281,2305906470
282,3268014570
283,1707546779
284,2298862000
285,1918372890
286,2036717000
287,2322191000
288,4113981000
289,6708990175
290,2759259218
291,3618045671
292,2265487483
293,1981556000
294,4522646039
295,3844671000
296,9102283000
297,4608254900
298,1654230000
299,1482112000
300,1423132000
301,947519000
302,1297881344
303,931820000
304,1244430000
305,1153730000
306,770140000
307,1137470000
308,1644920000
309,1904270000
310,1750610000
311,1241360000
312,1900530000
313,1969120000
314,2027320000
315,1474050000
316,1648700000
317,394050000
318,1207080000
319,2563420000
320,6776552619
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
