day,value
0,110000
1,0
2,0
3,20581048
4,0
5,0
6,0
7,0
8,20021987
9,121080993
10,0
11,0
12,0
13,341565
14,17194094
15,16879320
16,1175000
17,44803000
18,1311876
19,527177
20,449345
21,3224793
22,32868184
23,24483234
24,2786746
25,703741
26,6379095
27,76243429
28,4217526
29,74300854
30,27898895
31,3449698
32,7306906
33,52664929
34,29930548
35,144676724
36,17554285
37,28257937
38,53543106
39,66896368
40,23113946
41,123037342
42,4644403
43,309034562
44,1808911
45,1217772
46,254429116
47,8573692
48,60591989
49,61803616
50,9947299
51,12392941
52,84683856
53,79261722
54,74511780
55,11363377
56,55976155
57,11751566
58,40506531
59,6722250
60,19490576
61,120262757
62,63432012
63,136368380
64,43188799
65,104534179
66,313153123
67,464900208
68,12710053
69,40294067
70,440473977
71,101772072
72,52051380
73,86981485
74,43561400
75,44786820
76,81147560
77,198593445
78,70957217
79,39511488
80,37125908
81,12038631
82,108436590
83,125023421
84,59048117
85,147166968
86,13772199
87,53522115
88,24442364
89,43189134
90,10794311
91,20319355
92,188342934
93,141201743
94,27015591
95,60096984
96,87286210
97,17107688
98,44556425
99,95479320
100,13788155
101,4300791
102,48712759
103,646024630
104,115175986
105,46536113
106,30069412
107,14784800
108,266667
109,0
110,53867497
111,67030013
112,2766698
113,2948820
114,0
115,0
116,6205136
117,0
118,30789100
119,0
120,0
121,0
122,0
123,197030
124,0
125,30331322
126,0
127,12374720
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
