day,value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,4080224
14,1141992
15,6590144
16,6950012
17,5633713
18,439837
19,5138004
20,5232611
21,630018
22,150675367
23,19594801
24,54271395
25,3497235
26,44157004
27,67502356
28,2147674
29,63556534
30,103364139
31,120453394
32,18936483
33,17985315
34,41110574
35,13169373
36,19346212
37,38451218
38,164449275
39,151980307
40,120293803
41,134180678
42,729270278
43,85445030
44,104258411
45,151859479
46,8172409
47,851687504
48,569495896
49,178418050
50,604416617
51,140572553
52,365931426
53,1356631617
54,276184926
55,1058872628
56,923647584
57,267163321
58,228636214
59,607931059
60,2819596120
61,88493384
62,686088982
63,70938943
64,50610458
65,107159697
66,82149881
67,1075224246
68,28836474
69,75248220
70,69740664
71,39827242
72,15441190
73,5409663
74,34451458
75,15416276
76,7755941
77,0
78,9145811
79,0
80,0
81,1438819
82,10014501
83,12914359
84,0
85,7538382
86,7042509
87,1082732
88,314987670
89,2057926
90,12326174
91,1401010000
92,1533313
93,19702690
94,3297539
95,0
96,32292869
97,7762791
98,0
99,8854266
100,0
101,219178914
102,0
103,14926087
104,0
105,9662554
106,0
107,24084090
108,0
109,0
110,7227506
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,580030000
