day,transactions
0,28
1,36
2,41
3,43
4,19
5,51
6,27
7,17
8,16
9,5
10,12
11,1
12,21
13,4
14,21
15,15
16,21
17,8
18,16
19,9
20,9
21,39
22,42
23,0
24,46
25,0
26,1
27,0
28,0
29,37
30,0
31,2
32,1
33,3
34,26
35,6
36,1
37,38
38,8
39,6
40,1
41,3
42,8
43,4
44,4
45,4
46,0
47,9
48,0
49,22
50,0
51,0
52,0
53,6
54,0
55,0
56,1
57,9
58,1
59,3
60,1
61,0
62,1
63,0
64,2
65,9
66,1
67,20
68,22
69,0
70,1
71,4
72,12
73,7
74,4
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,10
84,0
85,0
86,1
87,2
88,3
89,0
90,2
91,1
92,2
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,2
103,2
104,2
105,0
106,1
107,5
108,0
109,2
110,2
111,8
112,2
113,6
114,0
115,1
116,0
117,0
118,0
119,7
120,9
121,3
122,1
123,3
124,3
125,17
126,17
127,31
128,4
129,17
130,7
131,6
132,0
133,3
134,1
135,2
136,8
137,1
138,21
139,0
140,16
141,2
142,2
143,16
144,13
145,5
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,10
159,6
160,15
161,12
162,3
163,6
164,3
165,0
166,0
167,6
168,6
169,5
170,2
171,2
172,1
173,4
174,16
175,0
176,0
177,4
178,1
179,3
180,4
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,2
189,1
190,4
191,0
192,0
193,0
194,0
195,1
196,4
197,0
198,1
199,0
200,1
201,0
202,0
203,8
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,4
219,0
220,0
221,0
222,3
223,0
224,1
225,0
226,0
227,6
228,0
229,0
230,3
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,3
239,0
240,1
241,0
242,0
243,0
244,6
245,0
246,0
247,0
248,5
249,0
250,0
251,0
252,3
253,1
254,0
255,5
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,2
267,0
268,0
269,4
270,0
271,1
272,1
273,1
274,3
275,2
276,1
277,0
278,1
279,3
280,4
281,0
282,0
283,1
284,3
285,1
286,2
287,6
288,3
289,5
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,2
298,1
299,2
300,0
301,5
302,0
303,1
304,0
305,0
306,0
307,3
308,3
309,2
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,7
319,0
320,1
321,0
322,5
323,0
324,1
325,13
326,1
327,10
328,1
329,0
330,7
331,2
332,1
333,0
334,0
335,0
336,0
337,2
338,2
339,0
340,4
341,0
342,1
343,0
344,4
345,0
346,1
347,1
348,9
349,3
350,3
351,1
352,5
353,2
354,0
355,1
356,1
357,11
358,3
359,1
360,0
361,0
362,2
363,1
364,1
365,3
366,0
367,0
368,3
369,3
370,5
371,0
372,0
373,1
374,0
375,1
376,2
377,0
378,1
379,1
380,1
381,6
382,1
383,0
384,0
385,5
386,10
387,12
388,2
389,12
390,0
391,0
392,1
393,1
394,0
395,24
396,7
397,0
398,0
399,0
400,5
401,0
402,7
403,0
404,10
405,0
406,0
407,1
408,0
409,9
410,0
411,0
412,0
413,0
414,3
415,0
416,0
417,8
418,1
419,0
420,0
421,2
422,1
423,1
424,0
425,1
426,0
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,7
444,5
445,1
446,0
447,1
448,8
449,1
450,2
451,0
452,0
453,0
454,0
455,2
456,6
457,0
458,10
459,0
460,0
461,1
462,0
463,1
464,1
465,20
466,9
467,0
468,0
469,10
470,3
471,0
472,7
473,4
474,0
475,0
476,1
477,3
478,6
479,6
480,10
481,10
482,0
483,1
484,8
485,10
486,17
487,2
488,0
489,8
490,5
491,4
492,2
493,0
494,0
495,6
496,0
497,12
498,1
499,10
500,9
501,4
502,0
503,0
504,2
505,5
506,3
507,7
508,2
509,1
510,0
511,1
512,0
513,0
514,0
515,2
516,4
517,4
518,7
519,10
520,8
521,18
522,8
523,7
524,0
525,1
526,11
527,4
528,10
529,2
530,1
531,0
532,0
533,6
534,1
535,0
536,0
537,3
538,1
539,0
540,10
541,3
542,3
543,1
544,2
545,0
546,1
547,1
548,1
549,13
550,0
551,1
552,0
553,0
554,0
555,2
556,6
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,10
565,1
566,1
567,6
568,1
569,0
570,1
571,2
572,3
573,1
574,1
575,3
576,3
577,1
578,0
579,1
580,0
581,2
582,5
583,0
584,0
585,0
586,0
587,0
588,2
589,7
590,1
591,0
592,0
593,0
594,0
595,0
596,2
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,4
605,1
606,0
607,0
608,0
609,2
610,0
611,1
612,1
613,0
614,0
615,0
616,1
617,3
618,0
619,0
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,1
628,1
629,0
630,3
631,1
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,2
640,2
641,0
642,0
643,0
644,0
645,9
646,0
647,1
648,0
649,0
650,0
651,1
652,2
653,0
654,0
655,0
656,0
657,2
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,3
673,3
674,0
675,0
676,0
677,0
678,2
679,5
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,2
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,2
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,2
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,2
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,4
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
