day,transactions
0,1
1,1
2,3
3,2
4,6
5,4
6,3
7,0
8,2
9,7
10,3
11,7
12,4
13,6
14,0
15,0
16,2
17,7
18,6
19,3
20,1
21,1
22,1
23,6
24,6
25,4
26,3
27,4
28,3
29,6
30,15
31,3
32,8
33,6
34,10
35,1
36,3
37,10
38,7
39,7
40,16
41,13
42,4
43,2
44,6
45,5
46,11
47,13
48,8
49,6
50,8
51,12
52,18
53,14
54,13
55,6
56,2
57,6
58,9
59,9
60,10
61,9
62,17
63,2
64,1
65,8
66,8
67,19
68,28
69,22
70,3
71,5
72,16
73,23
74,18
75,30
76,27
77,7
78,10
79,29
80,39
81,27
82,35
83,31
84,7
85,12
86,36
87,36
88,39
89,30
90,25
91,18
92,17
93,63
94,47
95,48
96,53
97,41
98,10
99,22
100,62
101,63
102,59
103,61
104,52
105,14
106,29
107,59
108,67
109,75
110,72
111,64
112,14
113,39
114,64
115,86
116,64
117,79
118,53
119,19
120,20
121,64
122,62
123,55
124,67
125,59
126,11
127,19
128,59
129,51
130,42
131,48
132,42
133,17
134,16
135,52
136,53
137,48
138,45
139,34
140,13
141,12
142,39
143,44
144,46
145,47
146,44
147,16
148,17
149,46
150,40
151,44
152,42
153,45
154,31
155,32
156,24
157,41
158,30
159,40
160,24
161,0
162,10
163,20
164,40
165,23
166,22
167,10
168,13
169,11
170,0
171,15
172,16
173,13
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,14
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,2
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,5
