day,transactions
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,2
14,1
15,2
16,4
17,3
18,3
19,3
20,2
21,2
22,3
23,7
24,7
25,2
26,3
27,4
28,3
29,3
30,8
31,10
32,8
33,7
34,10
35,3
36,7
37,11
38,11
39,11
40,14
41,10
42,11
43,12
44,13
45,12
46,5
47,21
48,15
49,10
50,22
51,16
52,20
53,18
54,27
55,23
56,26
57,19
58,9
59,28
60,22
61,12
62,17
63,10
64,7
65,17
66,9
67,19
68,12
69,16
70,23
71,8
72,3
73,2
74,11
75,8
76,9
77,0
78,15
79,0
80,0
81,2
82,8
83,5
84,0
85,4
86,6
87,1
88,9
89,4
90,12
91,1
92,4
93,9
94,4
95,0
96,8
97,7
98,0
99,8
100,0
101,6
102,0
103,12
104,0
105,9
106,0
107,11
108,0
109,0
110,4
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
